,answerKey,question,choices
2186,A,Despite this name out front you will also find beer and wine where too?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['liquor store', 'texas', 'art show', 'basement', 'spaghetti sauce'],
      dtype=object)}"
2187,C,What kind of parents make the happiest child?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['birth', 'act of sex', 'loving couple', 'parents', 'adoption'],
      dtype=object)}"
2188,D,What are students trying to do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['study philosophy', 'become adult', 'ask questions',
       'further education', 'study together'], dtype=object)}"
2189,C,Subway stations are generally found in a?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['large city', 'london', 'big city', 'toronto', 'chicago'],
      dtype=object)}"
2190,A,"In the children's book the cat was a great knight, it had finished its quest and was returning to the castle to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see king', 'meow', 'have fleas', 'sleep all day',
       'live many years'], dtype=object)}"
2191,B,"John lives in a farhouse well away from anyone. He doesn't farm himself, the farm shut down long ago.  How would you describe the area where he lives?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['farming community', 'rural area', ""cow's shed"", 'michigan',
       'housing farmer and family'], dtype=object)}"
2192,E,"The overbearing father told his son he had to earn his value, in left the child with feeling of what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['discounted', 'expensive', 'cheap', 'invaluable', 'worthlessness'],
      dtype=object)}"
2193,C,What is one likely trying to find an answer for when something is broken?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['question', 'wrong', 'problem', 'swear', 'confusion'], dtype=object)}"
2194,A,"Some people add up to something, but others put in no effort in their lives ending with what result?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['amount to nothing', 'talking loudly', 'mathematics',
       'learn from each other', 'state facts'], dtype=object)}"
2195,D,What does the sky look like on a sunny day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dark', 'cloud over', 'rain water', 'appear blue', 'starry'],
      dtype=object)}"
2196,A,"The spy was listening to the target chatting with friends, his mission was just what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gathering of information', 'feel close to', 'love', 'china',
       'feel relaxed'], dtype=object)}"
2197,C,What is a painful condition that would make going to the opera uncomfortable?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fall asleep', 'haircut', 'headache', 'fresh', 'relaxation'],
      dtype=object)}"
2198,E,"He opened up the advertisement after reading the subject line, what kind of ad was it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['magazine', 'mail', 'la ville', 'web page', 'email'], dtype=object)}"
2199,A,What does a person use to fight off disease?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['immune system', 'name', 'one head', 'grip', 'fingernails'],
      dtype=object)}"
2200,D,"The terrace overlooked a section of the Grand River, where was the terrace located?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['architecture', 'southern europe', 'house', 'michigan', 'state'],
      dtype=object)}"
2201,A,Where could you find a stray small dog?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['animal shelter', 'big house', 'own home', 'georgia', 'on a leash'],
      dtype=object)}"
2202,A,Where might someone learn about a piccolo?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music class', 'music instructor', 'bandroom', 'orchestra',
       'wind ensemble'], dtype=object)}"
2203,D,If friends comment on the condition of your living space what should you do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['socialize', 'go somewhere', 'go to the store', 'clean room',
       'going out at night'], dtype=object)}"
2204,C,where does a gentleman go to relax?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['meeting', 'cinema', 'meditation center', ""men's room"",
       'restaurant'], dtype=object)}"
2205,A,"Hurting else is a crime, if convicted you could face what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jail time', 'punishment', 'bad karma', 'will resent', 'a fight'],
      dtype=object)}"
2206,E,The mountain was one of many that surrounded the what below?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['plains', 'create climbing challenge', 'molehill', 'field', 'dale'],
      dtype=object)}"
2207,B,What is it necessary to do before beginning work on a computer?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['scream for hours on end', 'sitting down', 'panic', 'tiredness',
       'procrastination'], dtype=object)}"
2208,E,"He used a blunt instrument to do the killing, there was no way to clean up the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dies', 'freedom', 'sorrow', 'finger prints', 'bloody mess'],
      dtype=object)}"
2209,E,What happens to people when they do not have enough food?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat fish', 'they steal', 'talk to each other', 'write stories',
       'die of starvation'], dtype=object)}"
2210,D,What would people do if they are agreeing with each other?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['smiles', 'dissonance', 'accord', 'band together', 'rapport'],
      dtype=object)}"
2211,A,"The artist knew that this was the peak of his fandom, so he decided it was time for cashing in by doing what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['selling out', 'happy', 'fishing', 'receiving money',
       'getting paid'], dtype=object)}"
2212,C,What happens to cats every day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['open doors', 'drink water', 'need food', 'annoy', 'play'],
      dtype=object)}"
2213,C,Where could you find ticket office that are all of the same type?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['humans', 'city', 'movie theaters', 'arena', 'courthouse'],
      dtype=object)}"
2214,A,What does making grow lead to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['growth', 'die', 'harvesting', 'plants', 'aging'], dtype=object)}"
2215,B,Where could you be most likely to find containers with hydrogen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['air', 'chemistry lab', 'ocean', 'universe', 'barrel'],
      dtype=object)}"
2216,C,"If I am in an auditorium watching an amateur play, where am I likely?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['crowd', 'street performance', 'high school', 'city', 'lights'],
      dtype=object)}"
2217,A,Bob is in a dressing room.  He's putting on waterproof trunks and goggles.  What sort of facility is he most likely visiting?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['swimming pool', 'actors and actresses', 'fancy restaurant.',
       'gym', 'theatre'], dtype=object)}"
2218,B,What could you add a line to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'graph', 'post office', 'grass', 'play'], dtype=object)}"
2219,E,"Visiting museum was eerie and weird to him, he hated the stillness of it and having to only what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['look at things', 'appriciation', 'take pictures', 'cry',
       'whisper'], dtype=object)}"
2220,A,What is likely to cause pain when going for a run?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['leg cramps', 'becoming tired', 'feeling refreshed',
       'self realization', 'satisfaction'], dtype=object)}"
2221,D,"When you are drinking liquid, what are you doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['need to urinate', 'vomiting', 'having fun', 'swallow', 'sickness'],
      dtype=object)}"
2222,E,"The blood was everywhere in the operating room, what were the surgeons operating on?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['soccer game', 'musle', 'vein', 'animals', 'person'], dtype=object)}"
2223,C,"Sean was lying about the body, but he was very scared.  He constantly worried about what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['the reward money', 'hurt feelings', 'being found out', 'problems',
       'trouble'], dtype=object)}"
2224,A,What could have tens of thousands of paper clips?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['university', 'work', 'desktop', 'fashioned into simple tools',
       'drawer'], dtype=object)}"
2225,A,How might one conquer boredom by controlling the destiny of imaginary kingdoms?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play chess', 'read', 'play cards', 'watch film', 'play games'],
      dtype=object)}"
2226,A,"Jane saw her flirting with her boyfriend, what was her reaction?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jealousy', 'unwanted pregnancy', 'happiness',
       'getting into trouble', 'anger'], dtype=object)}"
2227,E,Where is likely to have a popular delicatessen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['city center', 'mall', 'shop', 'michigan', 'large city'],
      dtype=object)}"
2228,E,What part of the apple is typically left behind after eating?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['grocery store', 'peel', 'seeds inside', 'farmers market', 'stems'],
      dtype=object)}"
2229,D,Sitting to close while watching TV can cause what sort of pain?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['brain problems', 'laziness', 'get fat', 'headache', 'laughter'],
      dtype=object)}"
2230,E,"He couldn't take the match straight to the log and hope to get warm, he first crumpled up some what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['light fire', 'start fire', 'competition', 'branches',
       'burn paper'], dtype=object)}"
2231,E,"They were competing in basketball, the goal was to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bounce the ball', 'competition', 'have fun', 'race',
       'score points'], dtype=object)}"
2232,D,Hammers are made of metal and what other item?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['softness', 'plastic', 'stone', 'wooden', 'toolbox'], dtype=object)}"
2233,D,"He was a man with many loose morals, but when it came to his wife he was always what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['compact', 'discreet', 'unfaithful', 'faithful', 'close fitting'],
      dtype=object)}"
2234,B,where is the information superhighway?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['heavily travelled area', 'cyberspace', 'industrialized country',
       'on the internet.', 'computer network'], dtype=object)}"
2235,D,Where would you put the end of a steel cable if you want to use it as a lightningrod?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ship', 'building', 'in the air', 'ground', 'suspension bridge'],
      dtype=object)}"
2236,E,What is the best place to store a pen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['office supply store', 'walmart', 'classroom', ""neighbor's house"",
       'desk drawer'], dtype=object)}"
2237,B,"The man began asking me questions about my sloppy habits in front of others, what did I feel?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['misunderstood', 'embarassment', 'people will understand',
       'children will learn', 'satisfaction'], dtype=object)}"
2238,C,How are dogs generally toward people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['very smart', 'very loyal', 'friendly', 'found outside', 'furry'],
      dtype=object)}"
2239,D,What is something that probably has a lot of testosterone and way too much alcohol?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beer', 'wine', 'restaurant', 'fraternity house', 'pub'],
      dtype=object)}"
2240,A,"A horse rider wants to find foxes, what should he participate in?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['english hunt', 'burrow', 'hen house', 'polo game', 'rural area'],
      dtype=object)}"
2241,B,"He was the victim of a random punching, what did he find on his body?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pain for', 'bruise', 'police report', 'punch', 'cause pain'],
      dtype=object)}"
2242,C,On what would you serve an egg to someone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['chicken coop', 'henhouse', 'plate', 'glass cup', ""bird's nest""],
      dtype=object)}"
2243,A,You have to spend money at a ticket booth before entering what building for entertainment?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['movie theater', 'venue', 'mall', 'clerk', 'auditorium'],
      dtype=object)}"
2244,A,"If you were to take Communion on a Sunday morning, what you expect the glass on the walls to be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['many different colors', 'hold water', 'break easily', 'dirty',
       'shattering'], dtype=object)}"
2245,B,"The had a tough day and wanted to imbibe on a spirit, where should he go?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['graveyard', 'bar', 'human being', 'paradise', 'cemetary'],
      dtype=object)}"
2246,E,Where would you give something other than money to a clerk?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ticket booth', 'at hotel', 'shop', 'bookstore', 'post office'],
      dtype=object)}"
2247,E,Where is gruber exacavation from?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['quarry', 'park', 'egypt', 'work area', 'montana'], dtype=object)}"
2248,D,What does one chop us a grape for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fresh fruit', 'wine press', 'fruit basket', 'fruit cocktail',
       'picnic basket'], dtype=object)}"
2249,C,From where do elephants originate?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['china', 'circus', 'africa', 'zoo', 'india'], dtype=object)}"
2250,E,What place could have one back garden?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['police station', 'city', 'town', 'england', 'house'], dtype=object)}"
2251,E,Where could you find passengers that are planning to travel to another continent?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car', 'bus depot', 'bus stop', 'library', 'airport'], dtype=object)}"
2252,B,A helper monkey does what around the home of a disabled person?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['treetops', 'works', 'disturb', 'nigeria',
       'south american country'], dtype=object)}"
2253,D,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['walk', 'lay down', 'working', 'moving', 'exercise'], dtype=object)}"
2254,A,Where is a drug dealer convicted of a felony likely to go?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['prison', 'nightclub', 'jail', 'sell drugs', 'street corner'],
      dtype=object)}"
2255,B,Why do people engage in chatting with friends in class?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['necessity', 'answers', 'inspiration', 'love', 'fun'], dtype=object)}"
2256,A,When is an electric storm likely to occur?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['summer', 'weather report', 'america', 'hot', 'tropics'],
      dtype=object)}"
2257,B,As a human who valued privacy he asked that everybody do what so he could act without eyes upon him?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have to sleep', 'turn away', 'look at him', 'row boat',
       'let down'], dtype=object)}"
2258,E,If a person acts in a manner that embarrasses themselves and family their behavior is what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have no home', 'ridiculous', 'beautiful', 'restricted',
       'shameful'], dtype=object)}"
2259,D,"There was a toll road outsied of Hoboke, where was it located?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['massachusetts', 'connecticut', 'new england', 'new jersey',
       'west united states'], dtype=object)}"
2260,A,John kept standing up.  He was afraid that if he were sitting down he might do something. What might he be afraid of?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fall asleep', 'being supported on chair', 'comfort', 'clowns',
       'flatulence'], dtype=object)}"
2261,D,Lilly wanted to go about procreating but what no desire to have sex with a man.  So she went to a clinic and bought something.  What did she buy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['partner', 'in bed', 'orgasm', 'cum', 'naked'], dtype=object)}"
2262,A,What does hitting the side of a horse cause?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['movement', 'fear', 'stiffness', 'running', 'bouncing'],
      dtype=object)}"
2263,B,Deciding to watch tv or play with your cell phone might be a routine but they provide no help in being able to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have tv', 'fall asleep', 'learn', 'sitting', 'dancing'],
      dtype=object)}"
2264,A,Alabama has to consider a hurricane once in awhile as it is one of the whats?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gulf states', 'united states', 'seaport', 'alabama', 'deep south'],
      dtype=object)}"
2265,E,What can be the feeling of someone  giving assistance?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['death', 'trouble', 'happiness', 'pleasure', 'feeling good'],
      dtype=object)}"
2266,C,Where should we move this furniture?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['store', 'rug', 'room', ""friend's house"", 'online'], dtype=object)}"
2267,D,"The farmer chose plants he could make bird feed from and use of again the next year, he only planted what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['raise corn', 'seed plants', 'grow plants', 'seed crops',
       'farm land'], dtype=object)}"
2268,A,Erin struggled to be entertaining.  She didn't have many friends and wanted people to do what to her?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['like', 'happiness', 'favors', 'fulfillment', 'laughter'],
      dtype=object)}"
2269,C,"Before buying a house, what should I look for concerning my job?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make home', 'security', 'measureing distances',
       'examining poorch', 'make money'], dtype=object)}"
2270,E,"Sometimes playing game means losing, he wasn't good at losing though and showed lots of what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['having fun', 'entertain', 'injury', 'enjoying', 'anger'],
      dtype=object)}"
2271,E,"John bought a small butane stove.  He knew that he couldn't use it inside because of the fumes, but he could use it outside.  What structure would John most likely use the stove outside of?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['community kitchen', 'the post office', 'apartment',
       ""friend's house"", 'tent'], dtype=object)}"
2272,B,Where do you keep more than one drop of blood?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['person', 'test tube', 'human body', 'battlefield', 'doctor'],
      dtype=object)}"
2273,C,A hurricane is similar to what other wind event?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tornadocane', 'disaster', 'tornadoes', 'death', 'horrendous'],
      dtype=object)}"
2274,B,What does there need to be for a shadow to appear?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ground', 'bright light', 'bridge', 'sunshine', 'beam'],
      dtype=object)}"
2275,E,"Long term consumption of beer can lead to all sorts of problems, it can be quite what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['water', 'liquid', 'foamy', 'intoxicating', 'harmful'],
      dtype=object)}"
2276,E,"We want to try some new barbecue sauces, where should we buy some?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['detroit', 'australia', 'michigan park', 'cafe', 'retail store'],
      dtype=object)}"
2277,E,"If your evening meal isn't served on a dish, at what kind of eatery are you eating?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['plate', 'dinner', 'food market', 'near perfection',
       'fast food restaurant'], dtype=object)}"
2278,E,What has metal wings?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['detroit', 'airport', 'heaven', 'birds', 'airplane'], dtype=object)}"
2279,A,While doing housework you came across a dusty corner which caused you to start doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sneezing', 'tired', 'boredom', 'fatigue', 'anxiety'], dtype=object)}"
2280,C,"He wanted his favorite horse memorialized permanently, so what did he comission?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new hampshire', 'minnesota', 'engraving', 'canada', 'hay'],
      dtype=object)}"
2281,D,Jimmy Olson wanted to visit the daily planet.  His subway stop was in what city?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['large city', 'new york city', 'urban area', 'metropolis',
       'toronto'], dtype=object)}"
2282,A,"John was good at singing, usually.  But today he couldn't do it.  Why can't John sing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hoarse voice', 'change in mood', 'relaxation', 'feminine voice',
       'being heard'], dtype=object)}"
2283,E,"The location was famous for it's color, but the tourist was interested in the column of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['statue', 'pantheon', 'roman architecture', 'spreadsheet',
       'whitehouse'], dtype=object)}"
2284,E,"What would form on your feet, if you were jogging all day?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['heart attacks', 'hole in your socks', 'exhaustion',
       'shortness of breath', 'blisters'], dtype=object)}"
2285,E,"After becoming inebriated, she laid down on a bench, what happened afterwards?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['death and destruction', 'fall down', 'drunkenness', 'sleeping',
       'pass out'], dtype=object)}"
2286,E,What may a person call people who are acting foolishly?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['strange', 'kind', 'dumb', 'weird', 'stupid'], dtype=object)}"
2287,B,"He had a passion for music, he could what all day?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['good', 'listen', 'skate', 'opera', 'relax'], dtype=object)}"
2288,B,What liquid contains naturally occurring salt?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['seashell', 'ocean water', 'table', 'fast food restaurant',
       ""neighbor's house""], dtype=object)}"
2289,B,The spine is located in your,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['human body', 'back', 'lumbar', 'book', 'skeleton'], dtype=object)}"
2290,D,What do all humans want to do with other people of the opposite sex?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lay eggs', 'feel comfortable', 'work hard', 'fall in love',
       'kiss'], dtype=object)}"
2291,C,What can smoking lead to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ill health', 'heart attach', 'lung disease', 'death', 'pleasure'],
      dtype=object)}"
2292,D,What is a student encouraged to do as they mature?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wait in line', 'do extra credit', 'cross road',
       'think for himself', 'study book'], dtype=object)}"
2293,C,Is has been speculated that a aliens could be communicating by doing this?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['effort', 'farting', 'thinking', 'laugh', 'medium'], dtype=object)}"
2294,E,Why would people use airplanes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sky', 'military base', 'aircraft carrier', 'cloudy sky', 'war'],
      dtype=object)}"
2295,A,"The roommates were young and irresponsible, it was always a mess at their what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apartment', 'table', 'office', 'desk', 'closet'], dtype=object)}"
2296,D,"The birds were looking around in August, what were they looking to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['breathe', 'sky', 'build a nest', 'pick berries', 'reproduce'],
      dtype=object)}"
2297,D,"The mother knew her children to be messy, so she always kept extra kleenex in her what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['blow nose', 'box', 'wipe nose', 'purse', 'pocket'], dtype=object)}"
2298,C,what does getting divorce induce in someone who doesn't want it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['freedom', 'joy', 'depression', 'anguish', 'tears'], dtype=object)}"
2299,C,"The wheel was loose, and threatened to fall off when they were what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['footloose', 'sailing', 'fast', 'tighten', 'bind'], dtype=object)}"
2300,A,A hurricane can create what when it plows through a city?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['disaster', 'bring destruction', 'rain', 'horrendous', 'tornadoes'],
      dtype=object)}"
2301,E,"The drama had quite an affect on the humans, the highs and lows had them all what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['give up', 'bald', 'very adaptable', 'male or female', 'emotional'],
      dtype=object)}"
2302,B,"The door to door salesman asked for the homeowner, but the man didn't what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cut grass', 'own home', 'telephone call', 'answer telephone call',
       'receive mail'], dtype=object)}"
2303,D,Where is all  plumbing found in most houses?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'kitchen', 'show', 'wall', 'bathroom'], dtype=object)}"
2304,C,"He didn't understand the subject at first, but after studying it for a while, what did he gain?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new perspective', 'increasing knowledge', 'understanding',
       'more intelligence', 'inspiration'], dtype=object)}"
2305,A,Why might a person take a vacation?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['relaxation', 'good things in life', 'admiration', 'own house',
       'needs money'], dtype=object)}"
2306,D,Where is a student likely to use a notebook?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bookstore', 'kitchen table', 'backpack', 'classroom', 'office'],
      dtype=object)}"
2307,D,"The toddler thought it would be fun to try eating breakfast in bed, what resulted?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['contentment', 'indigestion', 'vomiting', 'mess', 'catastrophe'],
      dtype=object)}"
2308,D,What do humans do when in a race?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lay eggs', 'eat fruit', 'wrestle', 'compete with each other',
       'draw pictures'], dtype=object)}"
2309,B,If you've been in front of a computer all day and need to have a rest you can do what do relieve strain?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sit down', 'closing eyes', 'relax', 'sleep', 'have dreams'],
      dtype=object)}"
2310,C,"I love crab, but I don't get much where I live in rural where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['outside', 'alabama', 'virginia', 'cape cod', 'fish market'],
      dtype=object)}"
2311,D,"If somebody had a great love of music, they probably do what in the car?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sing', 'play piano', 'attend classical concert',
       'listen to radio', 'play violin'], dtype=object)}"
2312,B,"With all the Great Lakes nearby he bought a boat, but it needed storage during the harsh winters where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['locker', 'michigan', 'building', 'warehouse', 'in the cupboard'],
      dtype=object)}"
2313,B,Sarah's forgot her purse. She couldn't be the clothes she wanted.    She would have to drive all the way back where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['house', 'home', 'handbag', 'restaurant', 'department store'],
      dtype=object)}"
2314,E,Where would you put refuse if you do not want it to exist any more?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['basement', 'dump', 'wastebasket', 'garbage can', 'incinerator'],
      dtype=object)}"
2315,E,What causes furniture to become a projectile?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['canon', 'baseball', 'battle field', 'war zone', 'tornado'],
      dtype=object)}"
