,premise,hypothesis,label
1899,A man with a his arm in a sling and a business suit walks past two woman talking.,A man with an injured arm waiting at the hospital emergency room,2
1900,"a man sitting in the grass, playing his guitar, wearing a red shirt",a man is wearing a red shirt,0
1901,A man wearing a black hat and shirt loads up a pair of mules,A man is loading up mules,0
1902,A group of kids are standing on stage in front of an audience ready to perform.,A group of kids is about to perform.,0
1903,"A smiling man of Asian descent is sitting in his slightly-untidy cubicle at a desktop computer with several windows open, both hands poised in proper keyboarding position.",Girl working on computer,2
1904,Three men are playing professional hockey.,The men are playing a sport.,0
1905,A man preparing fruit below a tree.,A man is preparing fruit.,0
1906,An old man in white and pink is playing an acoustic guitar by a red bucket of money and a stand of red tomatoes.,The man is playing an instrument next to a stand of oranges.,2
1907,Men shovel snow while wearing shorts.,Men are wearing jackets,1
1908,A male with a beard is playing a guitar.,The man is playing the guitar.,0
1909,Three people playing in a pool next to a home.,three people are playing basketball in a pool,1
1910,Three mounted police stand in the middle of a street.,The police are outside.,0
1911,"A man with a full head mask, khakis, and a blue shirt sits on a suitcase near orange and white construction barrels and pays the accordion for five people sitting in green and white lawn chairs.",The man is playing a guitar.,2
1912,An Asian man plays a wooden whistle.,An Asian man blows through a wooden whistle.,0
1913,A woman wearing a sweater and jeans is playing on a tire swing with two little children in an outdoor park.,There are people outdoors.,0
1914,"A couple is playing outside in a park, one a man on a guitar and the other a lady on a violin.",There are people outdoors.,0
1915,The man on the beach looking for stuff with metal detector.,A person is searching for items on the beach.,0
1916,Large skillet full of soup boiling over an open campfire and woman rummaging in a cardboard box in background.,The soup is full of veggies and meat.,1
1917,A man examines his outfit while walking down the street.,An elderly man clutches part of his outfit in his hand to look more closely at it.,1
1918,A large black and white dog is running through a grassy field.,A large white dog is sitting in his doghouse.,2
1919,A soccer player in action.,The soccer player advances towards the goal.,1
1920,Woman with red-hair wearing black clothes throwing a rock into water.,The red hair is natural.,1
1921,A soccer game between the red team and the blue team.,A soccer game is being played,0
1922,"Along side a red brick building, two men in summer clothes are on a scaffold doing a window or door repair.",Two men stand next to a building.,0
1923,A boy in a yellow shirt hits a tennis ball against a wall.,A boy trying to learn how to play tennis.,1
1924,A group of people dressed in festive outfits is gathered outside building.,A crowd of people outside.,0
1925,"A little girl in a white dress, with flowers in her hand, is standing on the sidewalk.",A little girl is dressed up outside.,0
1926,People walking past a fashion shops.,People are walking,0
1927,The dog is wearing a purple cape.,THERE IS A CAT WEARING YELLOW,2
1928,"A woman holds the hand of a wide-eyed baby, in a christmas themed outfit.",Some person holds the hand of an infant,0
1929,A man is sunbathing on a crowded beach.,A man is on a beach enjoying himself.,1
1930,a man wearing a red clown nose stand talking to a man holding groceries on a busy city street.,There is a man wearing a blue clown nose.,2
1931,Four girls in red uniforms consisting of red sweaters and red skirts are walking down the street.,Four girls are walking down the street without supervision.,1
1932,A rock climber with a city and bay behind him.,The guy smiling at the camera right before reaching the summit.,1
1933,A man is posing for a picture surrounded by cliffs after climbing a mountain.,The man just climbed mount Everest.,1
1934,"A man with a rucksack, wearing shorts and sunglasses, waits to cross the road, while a young male with a bicycle looks at oncoming traffic.",The people were getting to cross the road,1
1935,A guy is playing the bagpipes while standing next to a woman in a light blue outfit with her belly button showing.,the man is from scotland,1
1936,A woman in a pink shirt standing over a griddle.,the woman is wearing pink,0
1937,Two older women outside set against a cityscape.,The women are indoors.,2
1938,A female martial arts student demonstrates with a weapon while others watch.,A female martial arts student demonstrates her skills.,0
1939,A construction worker stand upon a wooden beam and looks down.,A man is building a house out of wood,1
1940,A referee is watching a professional football game in the grass.,A referee watches a game.,0
1941,The bird's feet are grasping the window tightly.,The bird is in a metal cage.,2
1942,A competition match between two martial arts fighters.,The two martial arts fighters were women.,1
1943,"two individuals wearing sparring gear, fence at a match while a Northwestern Wildcats banner hangs behind them.",Two people are fencing with a banner behind them.,0
1944,A group of guys holding another guy pose for a photo in front of a graffited trailer.,One of the men was smiling while posing.,2
1945,"A woman wearing a sunhat and gloves sorts oranges, surrounded by flat containers of oranges resting on a lattice work structure suspended at waist level.",The woman is wearign a hag,0
1946,A female is bicycling down a street.,A woman is going to see her friends.,1
1947,Group of people standing on sidewalk in an Asian marketplace.,People are standing around a market.,0
1948,A girl doing a handstand on a trampoline,The trampoline has a girl on it.,1
1949,A girl going towards a heard of sheep.,The girl is napping in the field.,2
1950,A group of people on different colored boats enjoys a great day on the water.,A group of people on boats are enjoying a day on the water.,0
1951,A military ceremony is attended by boy scouts.,Boy scouts attend a ceremony.,0
1952,An elder woman is watching a small child wearing a pink onesie play in a dollhouse.,Two men work on a painting,2
1953,A man sitting on a green chair in an airport.,A man is at the airport.,0
1954,Cowboy turns back to wave out of the corral at a rodeo.,A cowboy waves out of a corral at a rodeo,0
1955,A man is lead singer in a band at an outdoor venue.,A man is a backup singer,2
1956,A pilot wearing his professional uniform stands next to his luggage with a newspaper in an airport terminal.,A pilot is laying in a hammock,2
1957,A little girl in white leaves her boots behind as she walks in the sand.,The little girl in white is wearing a white sundress.,1
1958,A football player wearing an orange uniform smiling and holding the football.,A man holds a football with an angry face,2
1959,A brown and white dog is standing in the river by the bank.,An animal stands on the shore of a river.,0
1960,A golfer is teeing off the green.,A man is playing basketball,2
1961,The ground where the bike is parked is muddy with pebbles embedded into the road.,A bike is parked on the muddy road.,0
1962,A man in a black shirt and jeans with glasses and white shoes is jumping high off the ground.,"A woman in a bar, holding a beer and a shot glass.",2
1963,A woman is laying in the grass eating something outside the leaning tower of pizza.,Nobody is laying.,2
1964,A female athlete gets ready to run.,An athlete prepare to run.,0
1965,Three boys with arms around each other.,Five old women are arm wrestling.,2
1966,A man is squirting water into a white dog's mouth with a squirt gun.,The dog is getting water squirted at him.,0
1967,Two people are sitting beside the street in front of a giant Christmas inflatable.,The people are sitting.,0
1968,"Man with rifle, glasses, hat, in camouflage takes picture next to dog, in front of a field.",A woman is flying to New York from England.,2
1969,Several people are setting out food to sell.,a woman eating pizza,2
1970,"Several young people, including a young woman in a green and pink dress, sing and dance.",A group of people are singing and dancing.,0
1971,Two girls and a guy walk by large advertisement of man with no shirt on.,Three people walk by a large advertisement.,0
1972,A jockey wearing a red and blue outfit is staring down a racetrack riding a gray horse.,There is someone on a racetrack.,0
1973,A guy is at work using his computer to take care of business.,A man works on the computer.,0
1974,People walking outside past a blue vehicle,The car is parked.,1
1975,"Three guys wearing yellow reflective vests, are carrying blue buckets.",Three guys in dapper suits are at the movies.,2
1976,"A woman in an orange blouse is glancing away from the picture while she dresses the hair of her friend, a girl who is grimacing and who is wearing a black tank top.",The woman is trying to take care of her friend.,1
1977,A woman in a red shirt jogging by a multicolored wall.,A person jogging outside in the heat.,1
1978,A silhouette of a man is shown fishing as the sun sets.,a man runs home while the sun is rising,2
1979,A man wearing a blue shirt is dribbling a soccer ball while a man in a white shirt is trying to take it.,a man dribbles a ball while another man tries to get it,0
1980,A young kid wears an eye patch and a bright colored bandanna.,A young kid with a patch over one eye.,0
1981,A young child working in the kitchen has powder all over his face.,The child is in the kitchen.,0
1982,Two men talking while operating a sidewalk cafe.,Several women work in a sidewalk cafe.,2
1983,Three women in a store looking at a bird that one of the women has.,Three women look at a rabbit.,2
1984,"Two men, one wearing a white styled cowboy hat, playing guitar.",There are two men in a business meeting,2
1985,A black and white bird eating seeds out of someone's hand,The birds are fighting for a worm.,2
1986,Man in a blue shirt with hand on forehead behind two cushions.,The man is hiding.,1
1987,A person is walking by a wall that is surrounding a church.,Someone is walking by a church.,0
1988,"Two dogs, face to face, on a dirt road.",Two dogs are facing each other.,0
1989,A man and woman are in the kitchen and a package of Challenge butter is in the foreground.,A man and woman are joyously in the kitchen,1
1990,A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,A child sinks his boat in the puddle over and over.,1
1991,A man dressed up in costume as a soldier getting prepared for battle.,The man wears clothes.,0
1992,A woman and young girl are looking at a book.,Their eyes are closed.,2
1993,A man and a woman are talking in a restaurant.,Two men are eating outside.,2
1994,A woman with brown hair and large sunglasses is staring at something outside of the picture.,A man is posing for a professional photoshoot.,2
1995,A man in a green t-shirts holds his sneakers while walking alone down a beach.,There is a man in a green t-shirt.,0
1996,Two dogs are playing; one is catching a Frisbee.,A few puppies are playing with a toy.,1
1997,A man holds up a bag containing leaves from a harvest.,There is a man harvesting.,0
1998,A blond man is wakeboarding and is jumping into the air.,The man is at a concert.,2
1999,A man in a black hat is rearing up on his brown horse while a crowd of people look on from a distance.,People look as a man rears up on a horse.,0
2000,A girl jumps in the grass.,There is a girl sitting on a chair.,2
2001,A man wearing a backpack with two children on a beach.,Three people on the beach.,0
2002,Two female soccer players compete for the ball.,Two women play soccer.,1
2003,The three people are squatting by the water.,a dog drinks milk,2
2004,The dog is walking out into the water and the sun is casting a reflection off of the water.,The dog is looking for a duck.,1
2005,Small boy looking at a display of yellow rubber ducks.,Small boy looking at a display of baseballs and bats.,2
2006,"here are two teen Girls, talking to each other, or maybe text messaging someone.",The girls are mute.,2
2007,"A man, two women, and two dogs on a beach with buildings in the background.",The group of people with two dogs are at the beach with buildings in the background while the tsunami is about to hit.,1
2008,A baby in a green shirt is holding onto a shoulder.,a baby with its mother,1
2009,"A man wearing a blue shirt is interacting with a woman wearing a red skirt, while another man wearing black looks on.",Three people are sitting at a cafe but only two are talking.,1
2010,A man in a Las Vegas t-shirt smiles while meat is being cooked on a grill in the background.,A man wearing a las vegas t shirt is in a casino.,2
2011,A group of people watching a performance on the street.,A man dances alone in the street,2
2012,An native-looking older man is sitting and working on making an item that looks to be similar to his hat or bag which is beside him.,a man works on a craft good while seated,0
2013,A young girl in a red dress in midair,a girl in a red dress,0
2014,A brown dog is holding a pink shirt in the snow.,A dog holding his owners dropped shirt for him in the snow.,1
2015,Two men dressed as Santa Clause dancing on a wall in front of two spectators.,There are two men dressed as Santa Clause dancing for their two sisters.,1
2016,A basketball player approaches the net in the air in an attempt to perform a slam dunk over the reach of his opponent.,A man is attempting to score a basket against the oppossing team he is playing against.,0
2017,A man uses a chainsaw to make an ice sculpture.,A man is making a sculpture.,0
2018,A pair is performing in a ballet.,A couple of people are doing a line dance in a dimly lit bar.,2
2019,Two golden brown horses pull a sleigh driven by a woman in a blue coat.,Two brown horses pull a woman in a sleigh through the field.,1
2020,An older man riding a bike.,An elderly man is biking,0
2021,People of different ages are looking at lighted machines of various bright colors in an indoor area.,A crowd is indoors looking at some machines.,0
2022,Lady in green jacket holding the hand of a child in a blue jacket who is walking on a bench.,There is a child walking on a bench and a woman is holding his hand while he does so.,0
2023,A man in uniform is holding a large camera by the ocean.,A man is playing football on the beach.,2
2024,A motorcyclist with a backpack traveling on his blue bike.,a motocyclist riding a horse.,2
2025,A man and woman in blue shirts cuddle and pose for the camera.,Two people are getting their picture taken.,0
2026,A cowboy in a black hat riding a rodeo horse with lots of spectators in the background.,A man is sitting in the stands waiting for a rodeo to start.,2
2027,A man dressed in a yellow sports uniform and another man dressed in a red and white sports uniform holding sticks with a ball floating between them.,Two women fight over a soccer ball on a field in the rain.,2
2028,A man wearing a blue shirt holds up a piece of art.,The man is selling his art.,1
2029,Man on an ATV catching air!,The man is asleep.,2
2030,A man stands on stilts while children watch.,The children are asleep on the grass.,2
2031,Two girls are standing by a wooden wall looking off to their left.,Two people are standing by a wooden wall looking off to their left.,0
2032,A young cheerleader is cheering,A person is cheering.,0
2033,Two men are working on wood.,Two women wash dishes.,2
2034,"Two girls, one older and in black and one younger and in white, are performing the same ballet move in front of decorations made from balloons.",They are siblings.,1
2035,A bunch of adults and children are working together on construction.,Construction can be worked on by adults and children.,0
2036,Two rock and roll performers on stage playing their guitars performing in front of a crowd.,Two musicians are strumming their instruments.,0
2037,A dog runs through a field.,There is an animal outdoors,0
2038,A baseball player standing on a baseball field.,A man is doing deliveries for his office.,2
2039,Old group sits on the dock and contemplates life.,the group are dead,2
2040,Two dogs playing in grass.,a dog sleeping on a couch,2
2041,A workman wearing a striped shirt and gloves clutching his hard hat with one hand and his crotch with the other.,A man makes an obscene motion.,0
2042,A man dressed as a clown folding a balloon animal.,The man is dressed as a clown at a child's birthday party.,1
2043,"Two men are guiding a water buffalo, who is dragging a raft filled with plants, through a swampy area.",Two men in Africa are bringing their plants home to eat.,1
2044,A woman with braids is kneeling down and adjusting string on a machine,The machine the woman is working on is new.,1
2045,"Three Asian children are on a motorized bike, with a little girl driving and two younger boys riding in the back, going past a construction site.",Three old people are on a bike.,2
2046,Hiker climbing down a snow and rock covered mountain.,Hiker climbing down a mountain,0
2047,A city with historical buildings at a distance on each side of the street with people on the sidewalks looking on.,A city with historical buildings has people on the sidewalks walking very fast.,1
2048,a child doing some drills for soccer.,A child practices for soccer.,0
2049,People leaving the subway and walking to their destinations,"The commuters are driving SUVs here, the new green kind.",2
2050,A man stands behind a wall on a busy city street.,The man is standing behind a brick wall with graffiti on it.,1
2051,A brown dog jumping into the air to catch a ball.,The dog is eating.,2
2052,Sitting at a table with beer empty beer mugs on it one brother is has a birthday cake sliced with sprinkler lit up while the younger brother is smiling with his eyes closed.,People are at a birthday party.,0
2053,A fellow in a green shirt plays a xylophone.,The girl in the red shit plays the drums.,2
2054,Man using a vacuum on his lawn.,The man thought his vacuum was the lawnmower.,0
2055,"A man and a woman, sitting outside on the stairs and talking to each other.",A married couple is sitting on the stairs talking.,1
2056,"The man is skiing down the steep, snowy white mountain with clouds in the background.",A dog trips and falls in mud.,2
2057,Photographers take pictures of a girl sitting in a street.,The girl is standing.,2
2058,A man on a four-wheeler is raising his front tires on a public road in front of spectators.,The man is doing a wheelie,1
2059,A blond woman kneels on the floor as she works on a piece of pottery on a pottery wheel.,A woman is making a vase for a gift using a pottery wheel,1
2060,A girl wearing a navy overcoat and a boy dressed all in white hold hands while walking up stone steps.,The steps turn into dragons,2
2061,A mama bear and its cub are growling directly at one another.,A mama bear confronts her cub.,0
2062,A player at bat with a red helmet on and a girl wearing a black and red uniform behind a fence.,A player and a girl behind a fence.,0
2063,A black and white dog is running through the grass.,A dog is outdoors.,0
2064,A person in a red suit and flippers being lowered from a blue and white striped helicopter.,A person in swim gear is being lowered from a helicopter.,0
2065,A black dog is chasing a smaller brown dog over grass.,A dog chases another that has stolen its toy.,1
2066,An African American singer performs on stage with a piano and several microphones in the background.,A man is playing a song on a piano.,0
2067,"People walking at train dock, dock 5.",People are watching the train approach.,1
2068,A parade of women in blue costumes walk down the street.,A group of woman dressed up as mermaids in a parade.,1
2069,Two men trying to pray near a mosque during friday prayers that were held by the imam,The muslim men are praying near a mosque in the city.,1
2070,"A group of people, big and small, in a public place.",A girl is washing her hair.,2
2071,Two dogs wrestle in a field.,The dog is playing with the cat in the house.,2
2072,A dog walking on mud flats.,Some puppies walking to farm,1
2073,A man and a woman are sitting in beach chairs on a deck.,dog in bath tub,2
2074,Bald white male playing an instrument.,A white man has an afro,2
2075,Old man entertains his family by playing accordion,A man's family are watching him play the kazoo.,2
2076,A dog leaps onto the red roof of the doghouse.,The dog got scared and jumped onto the roof.,1
2077,A girl in blue walks away from the bright yellow dividers.,The girl is skipping rope.,2
2078,The people are horseback riding.,The people hopped in their go-karts and were off to the races.,2
2079,a skateboarder jumps the stairs.,A young girl is skateboarding.,1
2080,An male in a white t-shirt and denim shorts skateboarding down a path.,A female in white t-shirt is skateboarding.,2
2081,Child holds up a picture of Mahmoud Ahmadinejad while men converse behind him.,women are talking about the child,2
2082,a group enjoying a day at the park in their trekkies,A group of trekkies is at the park.,1
2083,A young man in a baseball cap listening to music.,A young woman is wearing a baseball cap listening to music.,2
2084,A brunette child with glasses holding a blond child wearing a red sweater and yellow boots.,The blond child is wearing high heels.,2
2085,A man plays the drums with a serious expression.,A woman is teaching piano.,2
2086,A drummer and a guitarist play at a tropical outdoor venue.,A drummer and guitarist fight over who is more talented.,2
2087,"A man wearing a white t-shirt with a green number 3 on the back is on his knees shining black shoes propped up on a box labeled ""SHOESHINE"".",The man is a good shoeshiner.,1
2088,A red-haired lady reveals jarred food from underneath a blanket.,A lady is preparing a speech.,2
2089,Two older ladies who are sitting on chairs help twin boys play bongos while another lady who sits on a chair plays hers and a young girl sits on a small chair and plays two bongos in a large group of people.,At least several people are playing bongos in a large group of people.,0
2090,A little dog is bringing back a ball on an open grass field.,A little dog running through a field with a ball.,0
2091,"Young children are learning a local custom by watching adults, and it appears to involve pretending to be asleep.",Young children are watching adults act something out.,0
2092,There are multiple paintings hanging on the walls and a table with a white tablecloth on which is holding a fan.,The paintings hanging on the walls are located in a museum.,1
2093,A photographer looking through the lens.,There are two photographers.,2
2094,Two women dancing together.,Some women are dancing,0
2095,Several people are watching others play inside an inflatable moon bounce carnival attraction.,The people watched others play at the carnival.,0
2096,A large brown dog has his noce on the back of a small black dog.,There are 2 dogs.,0
2097,two men with black shirts on are using a record player with headphones and big smiles.,Record collectors and music connoisseurs prefer the old school vinyl sound over anything digital.,1
2098,Boys in life jackets on a watercraft.,The boys are at the mall.,2
2099,"A couple lying in the grass, one relaxing and the other writing in her notebook.",A couple laying together in the grass as the woman writes in her notebook outside.,0
2100,child sitting on a ladies shoulders and clapping her hands.,A person clapping her hands.,0
2101,A little boy in a blue jacket is running and being chased by a woman.,A boy is running away from a woman.,0
2102,A band with saxophones and trombones are preparing to play music.,A groups is getting ready to play music.,0
2103,A man sitting down with this head resting on his fists next to a man with his eyes closed and his together with dough sitting on a table in front of them both.,Two women are cooking,2
2104,"Four black men, taking a break by a SUV.",Their break is almost over.,1
2105,A band plays bathed in stage lights.,A band is playing music.,0
2106,An elderly person holds a white doge and kisses their cheek.,The cat likes to be left alone.,2
2107,2 couples are eating dinner on the floor behind a large plant.,"One couple is standing, while the other sits in a booth.",2
2108,"A woman, wearing an apron is standing at some sort of very long assembly line.",A woman working in the cereal factory is required to wear an apron.,1
2109,A large white boat is slowing coasting on the ocean with several people inside.,the big boat is sailing with passengers.,0
2110,Several people are dressed in Indian clothes.,The people are sunbathing on a nudist beach.,2
2111,A little boy in a helmet is doing tricks on a skateboard.,There is a boy riding a skateboard.,0
2112,a red-haired girl smiling sitting next to a brown-haired man who is also smiling.,The girl and the man are standing under umbrellas.,2
2113,A man holding giving a lecture.,A person gives a lecture.,0
2114,A blond and a red-haired woman sitting and having a drink together.,Two women are sitting together.,0
2115,a soccer player diving on the field.,there is a soccer player outside playing a game,0
2116,Several workers wearing hard hats dig a hole.,Construction workers wear hard hats while they dig a hole that will be the houses basement.,1
2117,A smiling woman in a bikini in the air over a diving board.,a beautiful woman getting her photograph clicked,2
2118,"A woman with red eyes and green makeup on her face, holds up a beige colored, ornately designed fan to cover her mouth.",A person with makeup on is holding a fan.,0
2119,adult with red boots and purse walking down the street next to a brink wall.,Someone is walking down a street.,0
2120,a woman wearing black stands in front of a pickup truck.,a woman wearing black stands in front of a pickup truck waiting for her man,1
2121,A firefighter standing near a danger sign.,A person stands near a sign.,0
2122,Three college age men jump up in the air with a green lawn underneath them.,There are men outside.,0
2123,A brunette woman wearing sunglasses is juggling two lemons in the air as she smiles.,A woman is playing with food as she makes lemonade.,1
2124,a man in a black polo shirt holds an infant in a white blanket.,the man wants to hurt the baby.,2
2125,A woman talks on a cellphone in a cafe.,The lady throws her cellphone.,1
2126,A man wearing an Illinois t-shirt is looking at a camera while a girl is aiming her foot at his face and another man is making an odd face in the background.,The girl is wearing a Florida t-shirt.,1
2127,Four people are speed skating along on a race course with number 8 in the lead.,Men try to tackle the ball carrier.,2
2128,"A little boy is playing in water in the street and wearing a wet t-shirt, as a man in a red shirt and a woman in a blue shirt are walking on the sidewalk behind him.",A husband a wife walk behind their son as he plays in water in the street.,1
2129,A collie runs down a slide.,The cat sneaked up the slide to scare the dog.,2
2130,A man and his wife take a trip back in time at a masquerade party.,a man and woman as a party,0
2131,A surly man pulls a piece of freshly baked bread from a stone oven.,The man is baking,0
2132,People are watching a person in a weird vehicle in a plaza.,People are watching a pizza delivery guy in his truck.,1
2133,The blond girl is dancing inside a house.,The girl is twerking.,1
2134,A guy underwater in blue swimming shorts playing dead.,The guy is not underwater,2
2135,A woman in a navy blue jacket and a woman in a green shirt standing in a room.,Two women standing in a room.,0
2136,Some barefoot young boy are wearing red and holding black containers.,Some barefoot African boys are wearing containers.,1
2137,Children raising their hands at a bookstore.,Children raising their hands to ask questions.,1
2138,A young man flies through the air in a no hands stunt on a bike.,The young man is washing dishes.,2
2139,a group of women holding black umbrellas.,Some women are riding on top of a tornado.,2
2140,A man wearing a blue jacket happily displays his product.,A man is wearing no top.,2
2141,"a girl dressed like a boy wearing a black shirt and hat and a red striped tie, holds a drink in one hand and makes a man-like gesture with the other.",The girl likes dressing like a boy.,1
2142,A man is sitting on a bench while he is working.,A man is underneath a car working.,2
2143,A white dog moving through red and white checkered poles.,a dog is in a competition.,1
2144,A boy descends off the end of a high diving board.,A kid jumps off of a high platform.,0
2145,A black dog jumps in a body of water with a stick in his mouth.,The dog is runs away from his master into an igloo.,2
2146,"Two people pose for a picure holding a card that says ""know what this is?""",They are unsure what a picure is,2
2147,The bank teller is waiting for a customer.,"At a bank, a customer is being waited on by a teller.",0
2148,"A man in a crowd holds a sign that says ""Those who blame Israel are hypocrites.""",A man is in public.,0
2149,Boy jumping the space in between while carrying a stick.,A boy carrying a stick.,0
2150,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The farmer wearing a gray hat is driving a horse-drawn cart.,1
2151,There is a man with an Afro taking photographs of a man grinding on a rainbow rail.,A man is skateboarding while another man photos him.,0
2152,"Several people, including a shirtless man and a woman in purple shorts which say ""P.I.N.K."" on the back, are walking through a crowded outdoor area.",The people are watching a movie in the theater.,2
2153,A girl in the background takes a picture as many people busily walk by.,the girl takes a pictures,0
2154,"A soccer player in a red uniform goes after the ball, fending off a player in white.",A soccer player is fending off the bees.,2
2155,A black and white dog plays in the water.,A dog playing with its owner in the water,1
2156,A man wearing black swimming shorts and goggles comes out of the swimming pool while others look on.,There are multiple people present.,0
2157,The people are standing outside in hiking gear.,People sitting around playing cards.,2
2158,"Three people, smiling while playing cards.",Three people are playing with Dominoes.,2
2159,A young soccer player is kicking a goal while the goalie tries to block.,The young child is playing football.,2
2160,A few kids are playing in a fort.,There are kids playing outside.,0
2161,A scuba diver ignores a group of blue and yellow fish as he explores the ocean.,A great white shark is about to kill the diver,1
2162,Several young women are preparing to play or practice volleyball on a indoor volleyball court while coaches are seated nearby.,Several old women are preparing to play.,2
2163,A young child climbing a boulder in which a balancing rock sits upon.,Nobody is climbing.,2
2164,A male teacher talks to his very young female music students as they hold their instruments and look at their sheet music.,A teacher preparing music students for their concert.,1
2165,three children play in flooded culvert.,Children are playing in water on a street.,1
2166,a young girl looks up at the camera while playing at a playground.,There is a young girl playing at a playground in front of a camera.,0
2167,Middle-aged man in yellow shirt standing on sidewalk holding a green bag and casting a shadow.,There is a man holding a bag.,0
2168,A man in an orange shirt is the passenger of a green car.,The man is in a taxi,1
2169,Child in gray sweatshirt hanging from metal bar,A kid is holding onto metal.,0
2170,A man swings a golf club while the person to his left waves an arm.,A person swings a golf club during lessons.,1
2171,Two children in pirate costumes play fight with their swords.,Two kids are imagining themselves as pirates,-1
2172,A man with a white jacket is sitting at a restaurant holding a coffee creamer.,A man is sleeping,2
2173,A little girl standing next to a small hay bail is outside holding an ear of corn and looking at it.,A girl wonders if she can eat raw corn from her grandpa's farm.,1
2174,A young girl is playing outside her house.,A girl is riding her bicycle.,1
2175,Two people are jumping on a snowy hill with a forest in the background.,The people are outdoors.,0
2176,A woman in a shawl digs a hole in the ground.,A woman has brown hair.,1
2177,People sitting on the ground watching a sunrise or sunset behind a mountain.,A group of people taking in a beautiful sunrise.,1
2178,A plane taking off at the airport while a grounds crew man is looking the other way.,A dog is flying a plane.,2
2179,A man is posing for a pic in a museum.,Someone is taking a picture of a man.,0
2180,"On a busy city street, a woman stands along on a traffic island.",A person waiting for traffic to clear.,0
2181,A young man in a white polka dot shirt is singing into a microphone.,A young man at a karaoke bar.,1
2182,A young woman in relaxed clothing vacuuming hallway with small vacuum.,This lady works as a cleaning maid,1
2183,Several young women wearing tye-dye shirts walk down a street.,Several young women wearing tye-dye shirts walk down a street.,0
2184,A pastor and a young girl in the front of the cathedral.,The girl is swimming.,2
2185,A man in an orange vest standing atop a building.,a bird was on rocks,0
2186,A group of young males standing around a table.,A group of young men discuss what drinks to order.,1
2187,"A young man and woman demonstrating a difficult, and compromising dance pose.","A young man and woman demonstrating a difficult, and compromising dance pose for the class.",1
2188,A person in a safety vest pushing a truck.,A person wearing a vest pushes a truck.,0
2189,"A man in a safety vest and black hat wearing rubber gloves is crouched down on a corner of an intersection, doing something with a stick.",The stick is dynamite.,1
2190,Seagulls fly in the sky over the water where a boat sails past rocks.,The water is very shallow.,2
2191,A boy is skateboarding outside.,A boy is playing his Gamebox on the skateboard,2
2192,"A mildly overweight man with a backpack is at the beach with two kids, who are playing in the sand.",The man is the father of the kids.,1
2193,Child dressed in blue is smiling underwater.,the child is sleeping.,2
2194,A child is playing in some plants lining a city street.,A boy plays in the grass and bushes near parked cars.,1
2195,man fixing something in a classroom,Man fixes something in a classroom.,0
2196,Two people on the subway are sleeping in the corner.,The people are in a field.,2
2197,"A happy young girl wearing a brown sweater, pink shirt and blue jeans is jumping off a sidewalk.","A girl in attrctive brown sweater, pink shirt and blue jeans is all happy as she jumps off a sidewalk",0
2198,A man in a red shirt is working on a machine in the field.,A man is resting at home,2
2199,A man cutting ice blocks or making a sculpture and people looking on.,A man is making customers ice cream cones.,2
2200,People are at a party and holding drinks.,The people are asleep.,2
2201,Two players wearing white uniforms are playing a sports game and trying to score.,Two players are playing cricket.,1
2202,"A blond woman, who is smoking, and a brunette woman are conversing outside a building.",The women are at the movies.,2
2203,A BMX bike rider in a black and red uniform on a dirt bike.,The person in the picture is not wearing only one solid color.,0
2204,A woman with a large scarf walks the paved sidewalk and reaches into her purse.,The woman is sleeping on the grass,2
2205,A little boy digs a trench on the beach while a little girl carries a Minnie Mouse bucket from the water.,A boy and a girl are on the beach,0
2206,two men one in a safety bucket and the other on the roof are fixing a sign.,Two men are fixing a sign that broke during a storm.,1
2207,"Wet brown dog, jumping out of the water.",Dogs on couch,2
2208,Young skateboarder doing a trick in the park.,Young skateboarder is swimming.,2
2209,A man wearing a helmet rides a bright red motorcycle in traffic.,A motorcycle rider wears a helmet.,0
2210,A large group of sports players in green and white uniforms line up behind a couple trophies.,The large group of sports players play basketball.,1
2211,A man and woman on horseback holding up the American flag before a rodeo.,A man and woman are bullfighting.,2
2212,Tourists at an islamic temple on a sunny day.,today is friday,2
2213,A man supports his entire body weight with one hand on a wooden floor,Bob forgot how to walk.,2
2214,Two construction workers cutting a piece of concrete road.,Two construction workers eat lunch by their truck.,2
2215,A man looking through a microscope and manipulating the contents of the slide.,The man is sleeping,2
2216,Men painting a bench in a park.,Men are sitting on a bench,2
2217,A man wearing blue jeans is standing outside carrying a wide assortment of items and has a large dish on his head.,The man is standing outside holding many items.,0
2218,A man in a black shirt crosses a street with a guitar on his back.,The man is asleep on a sandy beach.,2
2219,These three boys are trying to carry some wood.,Three boys carrying wood to build a fort.,1
2220,Children eating at a outdoor cafe& someone does n't like the menu.,The children are not hungry.,2
2221,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,Three woman are outdoors leaning on a fence,0
2222,"These people are in a restaurant, having drinks, and playing various instruments.",A woman is playing the drums on stage at a restaurant.,1
2223,Three blond ladies are sitting in the bar drinking.,There are women in a bar.,0
2224,"Two foreign women, both wearing black, selling different types of foods.",Two women are selling food.,0
2225,Pigeons framed against a looming storm.,The pigeons are sitting in the sun.,2
2226,"A shirtless man with multiple earrings, a necklace, and holding drumsticks, is voicing into a microphone behind cymbals.",A man is holding drumsticks.,0
