,observation_1,observation_2,hypothesis_1,hypothesis_2,label
2515,Emily was trying to sleep.,"Finally, the bird quieted down.",Emily's bird was very quiet.,"However, Emily's bird chirped loudly for hours.",2
2516,Jessica spent too much of her childhood in church.,She's now a mother of 3 at 20 years old.,Jessica thought a car was the answer.,Jessica thought a family was the answer.,2
2517,It was raining really hard.,Thankfully I stayed on the road and there were no other cars.,I could barely see the road.,I could barely hear the road.,1
2518,"Bill was at least fifty pounds overweight, maybe more.","He consulted a physician, and finally the weight started melting away.",Bill sought help to lose skin.,Bill saught help to lose weight.,2
2519,Tom was working on an essay for school.,When it came back on Tom saw that his work was all gone.,Tom's computer shut off by accident.,Tom's computer saved all his work by accident.,1
2520,I hated Fall.,I became happier because I didn't have to experience Fall in Guam.,Saving trash allowed me to travel to Philippines.,Saving money allowed me to travel to Philippines.,2
2521,My family went horse riding on our vacation.,Me and Dash got to the end of the trail before anyone else.,We ended up running as fast as we could.,We ended up drowning as fast as we could.,1
2522,Molly was petting her cat one evening.,That cat won't be getting a treat for a while!,Molly's cat scratched her.,Molly's cat purred at her.,1
2523,Karina had a school project that was due the next day.,She managed to finish the project and score a good grade too.,Karina barely worked.,Karina worked very hard.,2
2524,Carly had heard her parents whispering all day.,"In the car, they finally revealed that they were taking her on a trip.",They had no idea why Carly was whispering.,Carly had no idea why they were whispering.,2
2525,Ted is the first of his friends to own a car.,Ted has made a nice little side business while driving to school.,Ted decided to charge his friends for massages.,Ted decided to charge his friends for rides.,2
2526,Kelly and her friends were vacationing in Dubai.,They immediately booked the room again for next year.,Kelly and her friends were pleased with their hotel room.,Kelly and her friends were not satisfied with their hotel room.,1
2527,Charles had packed everything and was saying his goodbyes.,Steve was coming to visit so he would see them again!,"Charles had been staying with family for the summer, and he knew he would miss everyone, aside from his brother, Steve.","Charles had been staying with family for the summer, and he knew he would miss everyone, especially his brother, Steve. Thankfully,.",2
2528,Jim wanted to go to sleep.,He politely told them to turn the music down.,Jim's neighbors were eating their chips.,Jim's neighbors were blasting the stereo.,2
2529,I went to a party.,I was pulled over and spent a night in jail.,IN HOTEL WITH MY FRIENDS.,I kidnapped my friends in the hotel room.,1
2530,Tom was getting coffee at the cafe when he saw a familiar man.,"They discovered they were both adopted, and must be long lost twins!",The man looked identical to Mom.,The man looked identical to Tom.,2
2531,Samantha needed to get new car tires.,Her mechanic installed them on her car when the tires arrived.,But Samantha had to order special tires for her car.,But Samantha had to order special  tires for her car that were out of stock.,1
2532,Today was Claire's first exam at college.,Thankfully however she did fine.,She knew she would fail because she was unable to study.,She was scared she might fail even after studying.,2
2533,Tim was looking for a birthday card for his mom.,His mother ended up loving it.,Not finding one he like he decided to forgo one.,"Not finding one he liked, he decided to make one.",2
2534,Denise had a dream to become a dancer.,"Denise was amazing, she changed her Mom's mind with her dance.",Denise always played basketball.,Denise spent every day dancing.,2
2535,"One day, my dog would not stop barking.","Finally, the snake left.",My dog could see a snake in the yard.,My snake could see a dog in the yard.,1
2536,Hannah was feeling very stiff and inflexible.,Hannah became stiffer over time.,Hannah did not go to a doctor.,Hannah did not go to a feeling.,1
2537,Sam agreed to make a painting for his sister.,He apologized to his sister.,Sam started the painting right away.,Sam was busy and forgot to make the painting.,2
2538,Becca was going on a tour with her husband.,They returned home laden with lots of potable souvenirs!,There were people giving things away.,There were people buying things.,1
2539,I went to the casino around night time.,The three slots were not the same type so I ended up losing money.,I put all my trash in a slot machine.,I put all my money in a slot machine.,2
2540,Kyle was working towards his PhD in genetics.,Everyone is so proud of him.,Kyle graduated last in his class.,Kyle graduated first in his class.,2
2541,Last week my aunt got an interesting idea.,Everyone in the family really loved it.,She shared the family with the idea.,She shared the idea with the family.,2
2542,Tracy was a new mother.,After a month it became much easier and Tracy was proud of herself.,"From the start, she felt like an expert.",At first she felt like a failure.,2
2543,Terry went on a wilderness trip for his vacation in South America.,"When he thought all hope was lost, Terry's tour guide showed up.",Terry got lost quickly.,Terry never got lost on the vacation.,1
2544,David was too skinny and weak.,David ended up very strong after 1 year.,David started dieting and stopped eating a lot of meat.,David started weight training and eating a lot of meat.,2
2545,Dave was very nervous about his upcoming science test.,The next day he found out he had passed and was very happy.,Dave studied all through the night.,Dave had not studied at all.,1
2546,Jacob was at the library.,"Then, he stuffed it in his bag and quickly left.",Jacob found the ebook he was looking for.,Jacob found the book he was looking for.,2
2547,Devin had a great idea for a iPhone app.,Devin's app is now live in the App Store!,Devin kept it to himself after he was done.,Devin offered it to the App Store after he was done.,2
2548,Boss Harmon ran a smuggling operation out of Fargo.,"Boss had his ear shot off, but he kept his cartel intact.",A friend tried to murder him.,A rival tried to murder him.,2
2549,Jack was lonely after his parents' divorce.,He named it Boots.,Jack bought a cat.,Jack did not want a cat.,1
2550,June was excited about her birthday party.,June was not happy.,A person she really liked came to her birthday party.,"However, a person she did not like crashed her birthday party.",2
2551,Raul planted a garden in his backyard.,"However, his carrots grew very well and tasted delicious.",The tomatoes and the cucumbers died from too much rain.,The tomatoes and the cucumbers and every vegetable died from too much rain.,1
2552,My friend and I were playing video games.,We decided to stop playing video games and watch the news on tv.,There was then a huge breaking story.,There was then a slow news day.,1
2553,Gina washed her dad's car to his specifications.,"Gina vacuumed the inside of the car, and went to the mall.",Gina's dad said he would give her some money if she did a good job.,Gina said she would give her dad some money if he did a good job.,1
2554,Ted and Sue only had one car.,Ted finally agreed to bike to work two days a week.,Ted and Sue both talked about needing the non-ride for work.,Ted and Sue both talked about needing the car for work.,2
2555,Katie was really looking forward to her birthday.,She got a CD player!,Katie had a big birthday party with her family.,Katie's family forgot her big birthday party.,1
2556,A large tree stood over a house.,Moments later the tree crashed down on the house.,then lightning struck it and split it in two.,Then non-firebolting struck it and split it in two.,1
2557,The people at my work decided to start an NCAA competition.,"I took home my bobblehead, which still sits on my desk to this day.",I reported them to HR for gambling.,I won and the prize was a bobblehead.,2
2558,Mallie was in dire need of a new laptop.,She felt she could not go wrong with an apple.,Mallie decided on the HP.,Mallie couldn't decide on the brand.,2
2559,Leah hated clowns.,"It didn't work, and she ran away, crying.",Her friend tried to help her by showing her a very angry and scary clown.,Her friend tried to help her by showing a very happy and timid clown.,2
2560,Once I was picking apples in the orchard by my house.,I never picked apples again.,Then I saw a snake.,Then I saw a butterfly.,1
2561,Paul didn't want to go to school today.,Now Paul is grounded for two weeks.,Paul went to school anyway.,Paul skipped school but was caught.,2
2562,Susan was invited for lunch at a friends house.,Thankfully her friends saved her some food.,Susan was running early.,Susan was running late.,2
2563,My husband and I remodeled our bathroom.,The new bathroom looks amazing!,My husband and I did a poor job with the renovation.,My husband and I are impressed with the new look.,2
2564,Akira spent last weekend hanging out with her friends.,In the end she had a good time with her friends anyways.,Akira never missed home.,Akira started to miss home.,2
2565,Larry wanted to eat a quick dinner.,He put out a small fire and went back to sleep.,he roasted hotdogs over the fire.,he roasted hotdogs in the refrigerator.,1
2566,Mason was building his home with lumber from trees in his yard.,He woke up to the smell of smoke and flames of his home burning.,Mason's home was fine.,Mason's home caught on fire.,2
2567,The weather called for several inches of snow.,The snowstorm was severe and intimidating.,So everybody came out of the house to play.,So nobody came out of the house.,2
2568,Hope wanted to be a ballerina since she was old enough to walk.,On December 15th Hope is dancing in the Nutcracker Ballet.,Hope stopped practicing hard for years.,Hope practiced very hard for years.,2
2569,My friend Harry is divorced.,Harry resumed the relationship after she did her time.,Harry's ex wife went to prison.,Harry's ex wife went to church.,1
2570,Jon felt like a bad dad.,John went to the movies by himself.,John invited his kids to the movies.,"John invited his kids to the movies, but they were busy.",2
2571,Kay was going to a haunted house.,"At the end, she had had a scary, fun time!",Kay went with a bunch of friends.,Kay went with a bunch of antagonist.,1
2572,Jess hated egg salad.,The dog happily ate the salad.,Jess picked up her take out food order. She found out egg salad was mistakenly included.,Jess picked up her take out food order. She found out french fries were mistakenly included.,1
2573,There were around a dozen pages of questions to go through.,Jane handed in the exam and hoped for the best.,Jane didn't know all the answers.,Jane asked to go to the bathroom. She got caught smoking and was sent home for the day.,1
2574,Yesterday Lisa was asked out by a gorgeous young man.,"To her surprise, the two had a lot of fun.",Lisa wasn't sure and she said no.,Lisa wasn't sure but she said yes.,2
2575,Steve went to a bar and ordered a club soda.,The bartender rolled her eyes and made a new drink.,Steve sipped his drink at the bar.,Steve spilled his drink all over the bar.,2
2576,I was never a good student.,Thanks to my baby girl I have two degrees.,But I went back to school after having kids.,But I went back to school before having kids.,1
2577,My friends and I went to an art festival in a nearby city.,"Afterwards, everyone got to take a paper lantern home.",There was only one lantern made by a volunteer.,lantern was made of paper by a volunteer.,2
2578,Bernadette has a very playful cat.,Bernadette was very sad the cat broke her grandmother's vase.,The cat got scared by a panda passing outside.,The cat got scared by a dog passing outside.,2
2579,Arnold goes to the gym.,He decides to leave.,The gym is busy and all of the machines are in use.,The gym was empty and all of the machines were vacant.,1
2580,Rico was a womanizer.,Then they had a massive orgy and Rico had to watch.,Shawn got together with 3 women.,Rico got together with 3 women.,2
2581,Ally's was playing heads or tails with her brother.,"Ally looked at the coin, only to find it had heads on both sides.",She wondered why she never won when she would say tails.,She wondered why she was wasting her time and left.,1
2582,Charly was a seven year old boy who loved to paint.,Eventually he got a hang of it and painted a pretty horse.,Charly gave painting classes.,Charly took painting classes.,2
2583,Shaunna was a single woman recently divorced.,Shauna's daughter then offered to go and they had a great time.,Shaunna didn't want to attend a friend's funeral by herself.,Shaunna didn't want to attend a friend's wedding by herself.,2
2584,Russ is the boss at his company and has ten employees under him.,Russ fired him on the spot and it made everyone else work harder.,Russ realized the productivity of his workers was high.,Russ realized the productivity of his workers were low.,2
2585,At work we ran out of gravy mix.,"However, I ended up burning the gravy.",I went out to get new mix and ate it.,I went out to get new mix and made it.,2
2586,Eunice notices that her eyes hurt after driving for a long time.,"Now her eyes feel fine, even after very long drives.",Eunice went to update her glasses color.,Eunice went update her glasses prescription.,2
2587,Whitney went to Megan's wedding.,She is still remaining hopeful.,Whitney watched as Megan had a beautiful ceremony.,Whitney watched as Megan was stood up at the alter but didn't lose faith in love.,2
2588,Brandon woke up this morning with his tooth missing.,Brandon bought a bar of chocolate.,Brandon woke up the next morning in another state.,Brandon woke up the next morning with 50 cents under the pillow.,2
2589,"Lisa was rushing to class, worried about being late.",Her clothes were soaked so she sat through class dripping wet.,It started raining but Lisa had an umbrella.,It started raining but Lisa didn't have an umbrella.,2
2590,I went to the store to get stuff for chili.,After they boiled for a half hour I served them to my guests.,I started heating up all the ingredients for the cake.,I started heating up all the ingredients for the chili.,2
2591,Tyler wanted to have a balloon party with tons of balloons.,It had been a very fun day.,Tyler's parents found some cheap balloons for the party.,Tyler had a phobia of balloons.,1
2592,I heard my mom yelling at my siblings and I to go downstairs.,We then realized it was a real little chihuahua puppy.,We went downstairs and she was holding what we thought was a stuffed animal.,We went downstairs and she was holding a cute little kitten.,1
2593,Natalie decided to spend the weekend cleaning.,"By Sunday night, Natalie's house was cleaner than ever.",Natalie scrubbed a few areas she could reach and it only took her a little while.,Natalie scrubbed every area she could reach and it took her a long time.,2
2594,Judy didn't like her hair.,Judy gets a new hairdo with the help of the generous man.,Judy asked a barber if there was anything he could do.,Judy asked a principal if there was anything he could do.,1
2595,Tim invited John over to his house.,Tim went back to room and saw no disc in his video game system.,John was married to a kleptomaniac.,John was a kleptomaniac.,2
2596,Natalie wanted to get her first tattoo to remember her family.,She decided that a tattoo was not necessary for remembering family.,Natalie realized she didn't have a needle phobia.,Natalie did not realize she had a needle phobia.,2
2597,Sally lives by a large lake full of fish.,At the end of the day Sally finally caught a fish.,Sally went fishing thinking that she would catch a ton of fish.,Sally went hunting thinking that she would kill a ton of deer.,1
2598,Sally liked to skip wherever she went.,Her parents had to find her 3 hours later.,sally accidentally skipped onto the wrong street.,Sally accidentally skipped onto her driveway.,1
2599,Pat always wanted to see the world.,"Her parents were so proud, they flew over for a tour!",Pat's parents decided to travel and went to many places.,Pat decided to travel and went to many places.,2
2600,Quex loved to go to the park.,Quex came back every day to see him but he never came.,Quex saw an old man there.,He finally spoke to a man who was there each day also.,1
2601,I spent most of my detention time sleeping class.,When I got home I went right to bed.,I had taken to much cold medicine.,{}.,1
2602,Alicia is 60 Year's old and has to use the bathroom often.,The store owner captured the scene on video and it went viral.,Alicia peed on the floor.,Alicia went shopping on the floor.,1
2603,Cal had newly joined a distinguished preparatory school.,The boys told him it was their way of welcoming kids to the school.,Cal had to be introduced to the girls.,Cal had to be initiated into the group.,2
2604,Judy moved into a new home.,She paid someone to clean it.,The home was extremely dusty.,The home was sparkling clean.,1
2605,"One day, Erin decided to have a drink.",She woke up crashed in her front yard.,She ended up eating too much.,She ended up drinking too much.,2
2606,Ethan's parents told him they would go to Disney World soon.,Ethan's parents cancelled their vacation.,Ethan went to the doctors but wasn't sick.,Ethan became sick and went to the doctors.,2
2607,I had just been accepted to a new job.,She gave me a Jaguar!,I did so well the boss wanted to give me a material bonus.,My boss did so well she wanted to give me a material bonus.,1
2608,Jessie's friends invited her out.,"Then, she ran off down the road.",A guy at the club insulted Jessie's weight.,Jessie lost a lot of weight and was complimented for it.,1
2609,Shawn was obsessed with flying.,"Shawn flew up and away, never to return to Kansas.",Shawn learned to sing and bought a microphone.,Shawn learned to fly helicopters and bought one.,2
2610,Milton noticed that the jacket is not heavy enough for the cold winter.,"Unfortunately, by the time he bought it, winter had ended.",He decided to buy a heavy winter coat.,He decided to buy a heavy pair of socks.,1
2611,Jen doesn't like Sandy.,"The teacher now feels bad she didn't listen, and didn't punish them.",Sandy said they were just joking.,Sandy said they were just clowns.,1
2612,Abdullah arrives at the gym.,He passes out for a nap because he's exhausted from leg day.,Abdullah spends seconds at the gym.,Abdullah spends hours at the gym.,2
2613,My mom grew up with horses.,Now we have two horses at our house we do not ride.,She bought two horses at an auction.,She bought twenty two horses at an auction.,1
2614,Tory purchased the most perfect crystal earrings.,She was sure she wouldn't be disappointed again.,Tory had earrings after that turned green.,Tory had earrings before that turned green.,2
2615,Jeff was very upset.,Jeff was very happy with this explanation.,Jeff's boss refused to talk to him.,Jeff got talked to by his boss.,2
2616,Luke loved everything about Star Wars.,Luke had won VIP tickets to the private pre screening of the movie.,Luke played a game by himself.,Luke played a game on the radio.,2
2617,I loved apple sauce.,I decided to just buy apple sauce from the store.,"I wanted to make apple sauce, and the recipe looked easy.","I wanted to make apple sauce, but the recipe looked hard.",2
2618,My husband told me I had to leave the house for a week.,"Next time my husband tells me to leave, I will refuse.",He needed to get mold out of the house.,How did decided to go and had a good time.,1
2619,Kate had her first ice skating lesson.,She got back up again in order to keep going.,kate slipped on a corner and fell on her backside.,Kate stayed on a corner.,1
2620,I went in early like any other day.,They didn't even give us an explanation.,THey told us all that the place was closing.,They told us all that the place was open.,1
2621,"Kim let her daughter, Lisa, make breakfast for her.",But the oatmeal was so sweet that Kim couldn't finish it.,Lisa put a ton of sugar in the oatmeal.,Lisa put a ton of oatmeal in the sugar.,1
2622,Scott wants to go fishing with his friend tomorrow.,He is now allowed to go fishing with his friends.,Previously Scott was suspended from school.,Previously Scott was congratulated at school.,1
2623,Leo fell off his bike and cut his face.,Only Leo could see the scar from the fall!,Leo had a scar.,Leo never had a scar.,1
2624,Seth was sick of working his boring job at the factory.,"With his truck, he began a mobile grooming business.","Seth quit his job, and began thinking up ways to lose money for himself.","Seth quit his job, and began thinking up ways to earn money for himself.",2
2625,Antonela had a baby brother named Loki.,Now Loki loves Antonela as much as Antonela loves Loki.,They became strained and formed a strong dislike.,They became close and formed a strong bond.,2
2626,Craig didn't like the smell of tuna.,Now Charles can't make tuna at home.,Craig asked Charles to keep making it.,Craig asked Charles to stop making it.,2
2627,Jeff is moving to Detroit to fix the economy.,"Jeff kept focused, and promised to higher minimum wage by next year.",Jeff was working for better wages.,Jeff was working for better muscles.,1
2628,Charles learned to be creative from his grandmother.,Then she carved a basket out of a watermelon and put the chunks in.,He helped her make a watermelon craft one day.,Charles helped his grandmother with crafting one day.,1
2629,Miss weatherby was the teacher at the small country school.,She told her class that she went to China and adopted a kid there.,Miss Weatherby had not traveled the world at all.,Miss Weatherby had traveled the world.,2
2630,Ed went fishing with his dad.,Then he let it go.,Ed caught a fish while fishing with his dad.,Ed never caught a fish while fishing with his dad.,1
2631,Jim was out fishing with his son Todd.,His father grounded him for 2 weeks afterwards.,Todd jumped in the water when Jim told him not to.,Jim jumped into the water when Todd told him no.,1
2632,Tim decided to get his own business.,The billboard ended up getting him many customers.,Tim put up a billboard to advertise his new business.,Tim put up a newspaper ad to advertise his business.,1
2633,Sam was attempting to study at his apartment.,Sam was able to study in peace while having a cup of coffee.,His apartment was on fire.,His neighbors were loud so he went to a cafe.,2
2634,Lorenzo is sick of walking everywhere he goes.,Lorenzo is so happy he no longer has to walk.,He finally bought a car.,He finally bought a anti-ride.,1
2635,It was a blizzard atmosphere in Kelly's town this morning.,Kelly cheered.,Kelly's school had classes that day.,Kelly's school cancelled classes for the day.,2
2636,Timmy hated to eat his vegetables.,Timmy loved the taste of the smoothie and drank it all down.,His mom tried putting them in a fruit smoothie instead.,His mom tried putting them in a book instead.,1
2637,Clay is roaming around the museum.,Clay still enjoyed the museum.,Clay found some exhibits that he hadn't seen in a long time.,Clay found some rats that he hadn't seen in a long time.,1
2638,For our school trip we went to the science museum.,I won't be going back til next year.,It was a once a day trip.,It was a once yearly trip.,2
2639,"Yesterday, my mother in law called, and wanted to go out to some store.",We went home without buying anything.,My mother in law loved the store.,My mother in law did not like the store.,2
2640,It was my freshman year of college.,I'm still not sure to this day how he got me!,I fought a really bad guy one day.,I met a really fun guy one day.,2
2641,Ken decided to go to college when he was done with high school.,"Eventually, he settled on an out of state college.",He couldn't decide if he wanted to stay in-state or go to an out-of-state army.,He couldn't decide if he wanted to stay in-state or go to an out-of-state college.,2
2642,"Outside, Barbara's house was a huge pothole.",Crews came and fixed the pothole the next day.,It was causing a lot of issues for drivers.,It was causing a lot of issues for children.,1
2643,Barry was assigned to be the lookout on the fire.,The personnel all evacuated safely due to his diligence.,Barry yelled ice cream and everyone followed him.,"Barry yelled ""fire"" everybody follow me.",2
2644,I wanted to do something fun.,I decided to visit Vegas.,I hate gambling and am sensitive to bright lights.,"I like gambling, bright lights and buffet.",2
2645,Eric sat at his desk and feel sleepy.,The doctor gave Eric some pills and said he would be fine.,Eric went to see his doctor about insomnia.,He decided to get some rest.,1
2646,"The year that Eric turned forty, his wife planned something special.","A few weeks later, they took off for Las Vegas and had a blast!",eric's wife surprised him with a second marriage wedding.,Eric's wife surprised him with a  renewal of the marriage.,1
2647,Joanie was casted for a reality show.,She became a successful producer and director.,Joanie did terrible and ended a successful show business career.,Joanie did well and began a successful show business career.,2
2648,Sasha dreamed of owning a hair salon.,Sasha now owns her own salon!,She worked & saved enough money to go to trucking school.,She worked & saved enough money to go to beauty school.,2
2649,Ali had been dodging a bully all day.,Ali let out a sigh of relief as she boarded the bus back to school.,Ali walked as slow as her legs would take her.,Ali ran as fast as her legs would take her.,2
2650,Gina had a phone card to make long distance calls.,She decided she would call back later that evening.,President Trump called Gina to chitchat while she was sleeping.,Her uncle in Australia called when she was sleeping.,2
2651,Michael likes to go to the beach but has trouble swimming.,His friends helped him back to the shore.,Michael tried to drown and started to float.,Michael tried to swim and started to drown.,2
2652,Bri came home and couldn't find her bracelet.,Bri wasn't so mad at him because at least he told the truth.,Bri's boyfriend confessed that he pawed it to pay the rent.,bri stayed at work.,1
2653,The man was running.,The car hit the man running accidentally.,He stopped at the crosswalk.,He didn't stop at the crosswalk.,2
2654,There was an accident involving a truck on the highway.,They brought him to the nearest trauma center.,The victim was removed from the truck.,The victim was not removed from the truck.,1
2655,The Lake Family goes on a road trip each summer.,"Finally, it's time to drive off on the road.",They packed up there car but it broke down.,They packed up there car and left.,2
2656,Christmas is in 3 weeks and I haven't bought a single gift yet.,"Tomorrow, I will spend the day wrapping presents.",I bought no gifts in one day.,I bought all my gifts in one day.,2
2657,Gina was on the highway in heavy traffic.,She decided to relax and just get through it.,Gina put in her favorite U2 song.,Gina put in her favorite Slayer song.,1
2658,Connie was invited to a party.,"She decided to give it a chance, and returned to the party.",She was initially very shy of the crowds.,"She was initially going, but went to a concert.",1
2659,Rob was not organized.,Now Rob is more organized than his teacher!,Rob’s teacher showed him how to get organized.,Rob's teacher showed him how Nancy's organized desk.,1
2660,I got a vase for Christmas last year.,It had arrived safely!,I shipped the watch to my new home with lots of bubble wrap.,I shipped it to my new home with lots of bubble wrap.,2
2661,Justin wanted to throw a holiday party.,He then realized that he forgot to invite anyone!,Justin was unable to get his place ready for the party.,Justin got his place ready for the party.,2
2662,Bryan had a hard time at school.,He went on to become a famous writer!,He worked very hard.,He partied very hard.,1
2663,Mark's dog is really aggressive.,It returned very well behaved.,Mark enrolled his dog in obedience school.,Mark had the vet put the dog to sleep.,1
2664,Josh decided to go for a picnic.,The ants started eating the food and Josh had to go hungry!,Josh left the picnic basket on the table.,Josh left the picnic basket on the grass.,2
2665,Alex has always avoided eating unfamiliar foods.,He decides that he will try many new foods.,After his mom made him try celery he found he really enjoyed it.,after his mom took a long nap he ran away.,1
2666,My brother came home dirty from his football game.,On his next game he had a clean uniform.,My brother washed his underwear in the laundry.,My brother washed his uniform in the laundry.,2
2667,Rebekah missed her friend Kate who moved away last summer.,She smiled when she saw that Kate had sent her a letter!,Rebekah checked her mail for a surprise.,Rebekah checked her empty mail for a surprise.,1
2668,Paul felt brave so he tried to join the Army.,Paul was very pleased with his results.,Paul passed his physical.,Paul failed his physical.,1
2669,Bill worked at a gas station.,Bill was happy that he didn't have to work at the gas station anymore.,Bill got fired from the gas station.,Bill got a raise from the gas station.,1
2670,Wilma and Ashley started their very first Youtube channel.,The silly videos made the admissions office think they'd be a bad fit.,Wilma and Ashley's channel was still broken when they applied to college.,Wilma and Ashley's channel was still online when they applied to college.,2
2671,May needed to lose a lot of weight.,"With their help, May lost forty pounds!",Her friends gave her tips to binge eating instead.,Her friends gave her some diet tips.,2
2672,Laney was chatting with some friends at the store.,"Later, her friend dropped the tree off at her house.","Laney bought a giant tree for her yard,.",Laney bought a small tree for her yard.,2
2673,Anna entered a contest at the local grocery store.,Anna got a free cruise to the Bahamas!,"To her surprise, Anna won the grand prize.",Anna never had good luck.,1
2674,"Their grandfathers, generations ago, had built the church.",The suggestion they donate so it could remain was met with silence.,"His grandchildren were faithful, and cared deeply about keeping the church open.","His grandchildren were Atheist, and didn't care about keeping the church open.",2
2675,Mary always bragged about how good she was at bowling.,How was she to know that Steve was a college bowling champion?,Mary went to a competition and lost.,Mary beat Steve by 100 points in a bowling match.,1
2676,Jesse had social phobia.,He isn't afraid of what people think of him anymore.,Jesse became more secluded.,Jesse became more outgoing.,2
2677,The chair I was sitting in had a broken leg.,I stood up as I folded.,I ended up laying down.,I ended up falling down.,2
2678,Jon worked for minimum wage.,"Eventually, he finished his apprenticeship and became a programmer.",Jon was working under a technical manager.,Jon quit his job.,1
2679,"Rene was watching the stars outside, when one grew suddenly brighter.",Rene's family sued the space program because it was their debris.,Rene realized the space program had something to do with it.,rene was scared to go outside.,1
2680,Tina was brushing her hair.,The brush snapped in half.,Tina has very thick hair.,Tina gently put the brush down.,1
2681,The boy liked to daydream about her.,Suddenly she came right up to him and said hello.,But he vowed never to talk to her.,But he was to scared to talk to her.,2
2682,Martha's depression was reaching a fever pitch.,A friend found Martha in her weakened state and stuck by her.,Martha was laughing in the library.,Martha was crying in the library.,2
2683,Bob went camping with his family.,"And a sleepy, full bear next to the empty cooler.",Bob didn't notice the owl that was perched on their heads.,Bob didn't notice the owl that was perched on their tent.,2
2684,Mara wanted to make her own pizza.,Mara grinned to discover that her pizza was delicious!,Mara knew that it would be good.,Mara was unsure if it was good.,2
2685,Katie wanted a kitten.,"That semester, she made all A's and got her kitten!",Katie's parent promised her a puppy if she made good grades at school.,Katie's parent promised her a kitten if she made good grades in school.,2
2686,"After installing a processor, Bob needed to work on the motherboard.","Now, Bob's motherboard was installed very nicely.",Bob laughed hard at his work.,Bob tried hard at his work.,2
2687,Ali is new at school.,Lucy and Ali become friends that day.,Lucy was also new at school.,Lucy was leaving school.,1
2688,Jan's lamp broke.,He bought the lamp.,Jan saw a pretty lamp in the mall.,jan saw a pretty lamp in the trash.,1
2689,Jackie was admitted into the hospital today.,Jackie was very depressed.,Jackie found out she was pregnant.,Jackie found out she was very ill.,2
2690,Whitney is redheaded.,She gets annoyed with that question.,Whitney is often asked if she gets mad easily.,Whitney is often asked if she has blonde hair.,1
2691,Lisa was in college.,"As she descended down the hill, she sprained her ankle.",Lisa joined a reading club.,Lisa joined a hiking club.,2
2692,Eric dropped his phone.,Eric buys a new phone.,Eric's phone was perfect and would not break at all.,Eric's phone was broken and would not work at all.,2
2693,Michael's dad took him to the carnival.,Michael sadly got a blue balloon instead.,Michael wanted a red balloon.,Michael wanted a blue balloon.,1
2694,Bob wanted to be in the school play.,Bob was very proud.,Bob auditioned and did not get the part.,He auditioned and got the lead role!.,2
2695,Jan is out jogging when a dog starts chasing her.,He saves her life by beating the dog with the bat until it runs away.,Jan screams and Bob comes to her rescue.,Bob rescues the dog and screams at Jan.,1
2696,Jim decided that smoking wasn't good for his health.,He took up yoga which seemed to help.,Jim avoided smoking to improve his health.,Jim didn't care and kept smoking.,1
2697,James was angry at his best friend Todd.,Jenny later told them that she had no interest in either of them.,James and Todd both liked Jenny's friend.,James and Todd both liked Jenny.,2
2698,Becca was going on a tour with her husband.,They returned home laden with lots of potable souvenirs!,They barely left the hotel.,Becca and her husband visited many shops on the tour.,2
2699,"Since I was a child, I dreamed of being a pilot.","On my fortieth birthday, I decided to leave my job and become a pilot.",I researched everything about pilots.,I hated everything about pilots.,1
2700,Dora told her husband she saw a mouse in the kitchen.,She tossed it in the garbage and put the lid on tightly.,Dora could not caught the mouse.,Dora caught and killed the mouse.,2
2701,Tommy told Hannah that he had a friend that liked her.,Hannah decided to run away.,Hannah felt sick and saw Tommy's friend baby cousin walking toward them.,Hannah felt sick and saw Tommy's friend walking toward them.,2
2702,Gina had brought a stray dog home from the park.,Her mother refused to allow her to keep the dog.,It had lots of fleas.,It had no fleas.,1
2703,They went to the casino for vacation.,It was a great time and wanted to go again.,They lost all their money and were kicked out of the hotel.,They gambled and one.,2
2704,A man was in the market for a new car.,He purchased the vehicle.,The man couldn't find a nice car at his local dealership.,The man found a great deal on a car at his local dealership.,2
2705,Julie wanted to add height to her toe touch.,Julie finally got her toe touch to where she wanted it.,Julie decided to practice.,Julie was hesitant to practice.,1
2706,The Golden State Warriors were a basketball team that always lost.,"In the end, they won the world championship!",They always practiced and never gave up.,They always gave up and never practiced.,1
2707,Larry bought a new motorcycle.,Larry became careful.,Larry crashed into a tree at high speed.,Larry avoided a tree at high speed.,1
2708,Rebecca has to give her first speech in public speaking class.,"She settled into a groove, and ended up loving the task.",She was very nervous.,She was very excited.,1
2709,Alicia is 60 Year's old and has to use the bathroom often.,The store owner captured the scene on video and it went viral.,Alicia didn't  fall while going to the bathroom.,"Alicia, fell while going to the bathroom onetime.",2
2710,Zoey's mom told her they could go pick out a new dog today.,Zoey's mom paid for the French Bulldog and they took him home!,They visited a pet store and Zoey picked his favorite.,They visited a pet store and Zoey's mom picked her favorite.,1
2711,Billy Joe and Bobby Sue were sitting at home with nothing to do.,Both were arrested for murder.,Billy Joe and Bobby Sue decided to help their neighbor.,Billy Joe and Bobby Sue decided to kill their neighbor.,2
2712,"James packed sandwiches, salads, and desserts to take on a picnic.","They then cleaned up trash, folded up the blanket, and went home.",James took his kids to school.,James took his kids out for a picnic.,2
2713,As a hobby Kelly loved to crochet.,She decided to use it everyday.,Kelly's mom bought a new pattern book.,Kelly's mom bought a horrible pattern book.,1
