,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
2617,lsmdc3034_IDES_OF_MARCH-3066,17579,"As the nurse steps away, the young abortion patient briefly musters a smile for her. Now, someone","As the nurse steps away, the young abortion patient briefly musters a smile for her.","Now, someone",gen,"opens someone's syringe, revealing reactor.",opens her glass door to see.,gracefully approaches in a warm path with paintball players.,drives past messages his phone to number 17.,1
2618,anetv_z3-tII3XcUs,2664,A woman is seen holding a guitar. She,A woman is seen holding a guitar.,She,gold,puts the keys into the lock and continues pulling.,is playing the flute next to him.,puts the violin under her chin and then curlers the man's hair.,begins strumming the guitar and singing.,3
2619,lsmdc0041_The_Sixth_Sense-67559,17362,Someone looks up at the sound of those words. Someone,Someone looks up at the sound of those words.,Someone,gold,flings a sweater over the men.,"gets into his car, tucking his ear to his ear.",adds one america from the cushions.,stares with surprise through his tears.,3
2620,anetv_fZQS02Ypca4,6390,Little kid is standing in front of a camera and its putting blush on her cheeks. then with a small pincel grab eyeshadow and,Little kid is standing in front of a camera and its putting blush on her cheeks.,then with a small pincel grab eyeshadow and,gold,put it on her eyelids.,blow dries her wet hair.,shakes it sideways and sucks it by half.,put it on someone.,0
2621,lsmdc1011_The_Help-78663,15512,"Someone leads her mother away by the hand, both of them looking back at someone in disbelief as they go through the door, onto the porch. Someone","Someone leads her mother away by the hand, both of them looking back at someone in disbelief as they go through the door, onto the porch.",Someone,gold,turns and looks back at someone through the fly screen.,steps back into this apartment and lets herself a shaky herself as she fixes her long hair over the window.,"is standing there, rising out of the window now so he can look around to see people walking to the bed.","crosses to the porch and turns her attention to the tall empty room, where she breathes as she begins to cry.",0
2622,lsmdc1033_Sherlock_Holmes_A_Game_of_Shadows-85298,5660,Someone reads it and looks around in concern. Someone,Someone reads it and looks around in concern.,Someone,gen,dashes down the twisted chamber catwalk surround the vehicle.,takes in a heavy tuk.,glances at him reassuringly then glances at someone.,"sees the frail figure mount him up, hands him the key.",2
2623,anetv_xftFhOCEqFs,18307,Pole vault is a sport where you run with a pole and stop and swing your body. A few women,Pole vault is a sport where you run with a pole and stop and swing your body.,A few women,gold,are at the end of her vault and watching the team waiting have their attention.,bring board him over.,"are in the gym practicing to do this pole vault, trying to do their best.",are biking on a force field while they all begin to run down the track.,2
2624,anetv_uz91AvGxjbw,17541,Various shots of a field are shown followed by an older man playing a game of crochet. He,Various shots of a field are shown followed by an older man playing a game of crochet.,He,gold,meets with a couple of girls attempting to hit the ball and ends with the leaves.,hits the ball all over the field while another man watches and plays with him as well.,throws the ball all around the yard while doing tricks.,speaks to the camera and leads into him holding more cards and points to the camera.,1
2625,lsmdc3089_XMEN_FIRST_CLASS-43594,14886,Someone sighs and someone laughs. Someone,Someone sighs and someone laughs.,Someone,gen,carries someone down the back of someone's wagoneer.,hands someone a cue.,"leans back, a smile still dangling on his lips.",asked to comment and makes a beverage.,2
2626,lsmdc1060_Yes_man-99239,15138,Someone hides behind a wall then jumps out. Someone,Someone hides behind a wall then jumps out.,Someone,gen,"aims the gun at the gunman, then glances out at someone.",smashes into the dust fog and lands in a muddy puddle on the floor.,stares thoughtfully expectantly as he leaves.,"takes a syringe, picks it up, spins it into the pit of someone 'chest, and smacks it.",1
2627,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-60698,13869,Someone slowly raises cold eyes. Someone,Someone slowly raises cold eyes.,Someone,gen,gets out of bed and stands behind them.,looks back toward the blood - wrapped fence.,takes his bow as rockets approach.,sprinkles some out of the car.,1
2628,lsmdc3020_DEAR_JOHN-10162,18288,He opens the screen door and steps outside. Someone,He opens the screen door and steps outside.,Someone,gen,steps off of the camera and tugs a clip down her shoulder.,walks down a dark corridor.,leads a man out of his way.,enters the car away.,1
2629,anetv_8jJdHFW-lys,978,Little girl is in stage in a competition and do a jump into a parallel to do gymnastics and somersaults. peolpe,Little girl is in stage in a competition and do a jump into a parallel to do gymnastics and somersaults.,peolpe,gold,are watching them step push on between the looses.,is standing behind the stage talking.,stand on top of the pink stripes and walk next to the coach after the competition.,are standing on a mat side the room watching the fighters dance.,1
2630,anetv_J76bFZWXHFY,15654,A person is seen attached to a rope and climbing up the side of a wall. Several more people,A person is seen attached to a rope and climbing up the side of a wall.,Several more people,gold,are seen speaking to the camera and leads into clips of people people grabbing a rope and drinking water.,are seen riding in and out of frame and leads into several clips of various people riding in tubes.,are seen riding between snowboards and bungee jumping up and down.,are seen climbing up the wall as well as a lizard and other wildlife around them.,3
2631,lsmdc1011_The_Help-78649,3701,"At her home, someone drops her bag on the floor and walks into her mother's bedroom where someone is sitting on her bed without a wig sewing a sampler. Someone","At her home, someone drops her bag on the floor and walks into her mother's bedroom where someone is sitting on her bed without a wig sewing a sampler.",Someone,gold,"headphones comes to a stop and sits on a sofa, her legs flailing.",is walking in them and a typical logo is getting exam.,pulls someone off after someone and makes a purchase.,takes off her specs and stares at her.,3
2632,anetv_rLlm6h0Nfvo,6880,"After, the woman pass the hula ring around her waist fast. Then, the woman","After, the woman pass the hula ring around her waist fast.","Then, the woman",gold,holds the baton and perform a hand hopscotch on a lacrosse stick together.,performs a performance stair sprayed in a room.,uses 2 black hula hoop to draw a baton in the air.,does an exercise with her feet and body.,3
2633,lsmdc0038_Psycho-67122,10739,"Someone smiles reassuringly, places his hands gently on her arms, speaks with gentle and simple sincerity. He moves away and again the weight of his pain and problems","Someone smiles reassuringly, places his hands gently on her arms, speaks with gentle and simple sincerity.",He moves away and again the weight of his pain and problems,gen,"goes back to his desk, this time, with his vinyl restraints behind him.",is removed from his palm.,"goes people to make it you're a mechanical, although you should be just talking to them.",are fixed on him.,3
2634,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-1660,16378,She grabs her broom and takes flight. Someone,She grabs her broom and takes flight.,Someone,gold,takes a package on the nightstand.,drops to his knees.,steadies herself and stares at her.,charges ahead and knocks her off mid - air.,3
2635,anetv_B4qwjeJBk0s,12784,A large scenery is shown with a car driving and people getting out. The people then,A large scenery is shown with a car driving and people getting out.,The people then,gold,begin moving along the bridges continuing their tricks.,begin riding down the street as well as people bumping into each other.,begin to a set of balls that go down an escalator in a person between tires with an airplane target.,begin riding long roads down a long road while the car follows from behind.,3
2636,anetv_37pnsj0hlZ4,2182,A machine is shown sitting in a living room floor. A man,A machine is shown sitting in a living room floor.,A man,gold,sits on the equipment and straps it onto his feet.,is laying on the floor standing next to the cooking stove.,is raking a piece of wood using a hose.,passes a painting and then begins painting the ceiling.,0
2637,anetv_t7J7SugZPlE,11392,"The little boy runs outside and the lady drags him inside. On their way inside, he kicks the old man and the old lady",The little boy runs outside and the lady drags him inside.,"On their way inside, he kicks the old man and the old lady",gold,slams his car door open.,disappears into the night and sees the ghastly food on a floor green wall.,chases her out of the room.,waves her hand and go inside the house.,3
2638,anetv_72F30o9V8v0,14435,The people also walk through obstacle courses with the horses and keep one hand on at all times. The man,The people also walk through obstacle courses with the horses and keep one hand on at all times.,The man,gold,stands in the middle applauding the riders and giving the horses direction.,stands on the camel as they play.,waves the red skiier with the camera and dials a number one.,serves the ball while avoiding each other.,0
2639,lsmdc3057_ROBIN_HOOD-27634,3925,He entered the kitchen and someone closes the door on them. She,He entered the kitchen and someone closes the door on them.,She,gold,turns off his coat and hands him his sack.,folds her hands at her waist.,stops at the cross.,opens the apartment door and walks into a bathroom.,1
2640,lsmdc1057_Seven_pounds-98000,7418,"Looking troubled once more, he stands beneath the fine jets of water and stares down deep in thought. Someone's face","Looking troubled once more, he stands beneath the fine jets of water and stares down deep in thought.",Someone's face,gold,is bloody in the flashback.,"robes out on the pajamas, blowing wildly.",is bathed in the golden light.,falls right behind him.,0
2641,lsmdc3021_DEATH_AT_A_FUNERAL-1288,1941,"Gazing around in amazement, someone reaches his arms out. His fiance","Gazing around in amazement, someone reaches his arms out.",His fiance,gen,lets him fall as he falls onto the ridge.,meets his disappointed glare.,slams him into the trunk.,engulf him as he dashes toward the burnham house.,0
2642,anetv_G8gTBLLf8Bo,13671,A woman is talking standing in front of a bunch of windows. The woman,A woman is talking standing in front of a bunch of windows.,The woman,gen,speaks to the camera while holding a giant glass of liquor and putting something around another woman.,take out a hose from a chair and get it into a first woman.,is holding up various cassettes of an exercise machine.,is then seen blowing a hookah with her hands while people walk behind the woman holding the hookah to her mouth.,0
2643,anetv_Zr1xfVeUGeo,10894,"The person adds blue liquid to a small, plastic container. The person","The person adds blue liquid to a small, plastic container.",The person,gen,wipes down and more peels turns around and resumes ironing.,pours the mixture into sunscreen on a baking plate.,takes the liquid out of the bowl being using cups to scratch a wall.,shakes the leaves and then puts it in his mouth.,0
2644,lsmdc3033_HUGO-14165,13237,The five - piece band plays in the cafe. A woman,The five - piece band plays in the cafe.,A woman,gen,coldly waits with a champagne flute.,"approaches someone one, stand in the middle.",stands on the rigging as he starts to play.,exits a glass room.,0
2645,lsmdc0021_Rear_Window-58639,5356,"He moves to the sideboard, picks up a felt hat. He","He moves to the sideboard, picks up a felt hat.",He,gold,pulls a slip of paper out of his pocket.,walks across a room.,looks at the paper to cover the grail locket inside.,"carries it to the car, and enters his garage.",0
2646,lsmdc1043_Vantage_Point-89126,17447,He asks her her name. Someone,He asks her her name.,Someone,gen,comes off the phone with her eyes streaming.,averts her gaze and heads brings food to her lips.,"grabs a couple keys from a nearby table, and looks in at the creeping machine.",clutches the time and frowns uncertainly.,1
2647,lsmdc0019_Pulp_Fiction-56801,14914,A taxi is parked in a dark alley next to an auditorium. The sound of the car radio,A taxi is parked in a dark alley next to an auditorium.,The sound of the car radio,gold,is heard as the pilot looks up at its new pairs of feet.,plays as two other staffers look out the oncoming work.,can be heard coming from inside.,hears a rhythmic clicking.,2
2648,lsmdc3086_UGLY_TRUTH-6109,6576,"As someone heads off, someone follows. They","As someone heads off, someone follows.",They,gold,huddle in the tribal law school bible.,walk off down two steps.,stand close.,enter the producer's office.,3
2649,anetv_0z_dyY_89ys,12535,A female news woman is talking to the camera in a news room. Another woman,A female news woman is talking to the camera in a news room.,Another woman,gen,is talking on a phone.,is instructing her and talking about how he works.,is sitting at the table next to the iron.,is playing on a table in front of a tv.,0
2650,anetv_wZgBJlWqWWI,13597,She proceeds to cross the monkey bars backwards away from the camera. The she,She proceeds to cross the monkey bars backwards away from the camera.,The she,gold,comes back towards the camera but backwards again.,throws on the pole again in slow motion.,continues all over the camera while laughs.,flips the slide several more times so she can watch.,0
2651,anetv_Hy8WbkpvUlA,15937,The boy irons the wax down flat over the entire surface. The kid then,The boy irons the wax down flat over the entire surface.,The kid then,gold,squeezes the metal metal it to part orange then touches it to show the proper spot to do it.,puts the swarthy towel turned to a set of clothes gear.,places more minutes and false and lick him.,begins to use a scraping tool to remove the wax layer from the snowboard.,3
2652,anetv_4b2_OpAGwW0,17102,A woman braids her hair in several braids. She,A woman braids her hair in several braids.,She,gold,brushes her hair off with her comb.,ties them behind her head.,continue rafting and stand and drown out and styling a woman's hair with a brush.,dries her hair while smiles.,1
2653,lsmdc3070_THE_CALL-32749,2484,"Her body falls limp and he drags her to the sedan. In the hive, someone",Her body falls limp and he drags her to the sedan.,"In the hive, someone",gen,reloads a number on a brown cellphone.,walks along the walkway of a diner.,climbs with a mounted gun.,shifts her shy gaze.,2
2654,anetv_HUZ9PuMm8yM,8430,"After two individuals go, the a man does a handstand near the edge of the board and back flips off of it into the water. Next, two sets of men","After two individuals go, the a man does a handstand near the edge of the board and back flips off of it into the water.","Next, two sets of men",gold,perform pulling him on the board and assemble on the equipment of the third person.,begin jumping off of the board simultaneously doing a series of flips.,dismount and take men performing the high jump and do many jumps.,dance together in the water and make a few more jump in the water for his finish.,1
2655,anetv_CoP3xaSZt7A,13416,People are dancing on a stage. A man,People are dancing on a stage.,A man,gen,jumps over a bar and lifts her arms.,is kneeling on a stage.,starts playing a piano.,is shown dancing in a room.,2
2656,anetv_mdwbRGlPn3A,5208,One of the men with stilts splits at the center. One of the men,One of the men with stilts splits at the center.,One of the men,gold,jumped so high several time with his stilts.,hold his legs up and pose.,started to use a rope to run along.,turns vertical and then continues cheering and they continue wrestling.,0
2657,lsmdc0027_The_Big_Lebowski-63077,12049,"We hit the pins, scattering them, and rush on into black. A body","We hit the pins, scattering them, and rush on into black.",A body,gen,has been extremely smashed square.,keeps falling on it.,"print emerges disappears, revealing someone rising into the burning car.",is shown behind the barricade and a girl talks hitting the barricade.,3
2658,lsmdc3050_MR_POPPERS_PENGUINS-23843,19504,He removes the top and finds a frozen penguin inside. He,He removes the top and finds a frozen penguin inside.,He,gold,takes out his sketch.,lifts the knife cautiously and moves the knife forward.,takes a couple of disposable bottles from a shelf.,removes the someone penguin from the crate.,3
2659,lsmdc1009_Spider-Man3-76222,13719,Someone slips the ring into the pocket of his jeans and opens the door to someone. She,Someone slips the ring into the pocket of his jeans and opens the door to someone.,She,gold,takes his mentor's arm as they walk away down the street.,holds up a newspaper.,"awakes in bed and jumps up, looking through the window.",hurries from the elevator.,1
2660,lsmdc0050_Indiana_Jones_and_the_last_crusade-70098,15644,Someone walks past aisles of book - lined shelves. He,Someone walks past aisles of book - lined shelves.,He,gold,sees a version of the love scoreboard.,takes a small bite.,"stops, turns, then looks down.","wraps his arm around someone's waist, spins her.",2
2661,lsmdc1053_Harry_Potter_and_the_philosophers_stone-95576,18252,An owl sits on a purge outside the shop. A bat,An owl sits on a purge outside the shop.,A bat,gen,is on the grass.,flaps its wings and across the parking lot.,is torn from its chair to reveal various noises coming from her hands.,pulls a web out from under an bomb.,1
2662,lsmdc3088_WHATS_YOUR_NUMBER-42033,4196,She encounters someone's date. Someone,She encounters someone's date.,Someone,gen,gives someone a warning look.,backs away from the tent.,faces his position leads someone away.,takes a bow from someone.,0
2663,lsmdc1060_Yes_man-99107,1708,He offers the guy all his money. The guy,He offers the guy all his money.,The guy,gen,"puts down a beer to the cashier's numbers, then gestures at his father.",grabs his earpiece and blows out a series of black letters.,takes a puff from his cigarette and whips the bag through the window.,lands on his back.,2
2664,lsmdc3086_UGLY_TRUTH-6099,17374,A cartoon sun peaks out of her cloud mini skirt. Now she,A cartoon sun peaks out of her cloud mini skirt.,Now she,gen,strolls over a famous exotic dancer.,"helps her daughter through the dim walkway, then flings her arms around her.",trots forward as he sinks past her into a city house.,bursts through an opening gate.,3
2665,lsmdc3038_ITS_COMPLICATED-17156,18535,She nibbles a piece of food from a plate as she carries it to the sink. Her eyes,She nibbles a piece of food from a plate as she carries it to the sink.,Her eyes,gold,glaze away from the shattered counter as someone sits close to her.,shift thoughtfully as she rinses the plate and looks out a window.,fill with tears as he stares slack - jawed.,are pierced and someone moves to the sink surface.,1
2666,anetv_F1RpG1Vwi28,106,Then he begins showing how to use the trimmer for his beard by adjusting the clipper size. He,Then he begins showing how to use the trimmer for his beard by adjusting the clipper size.,He,gold,is playing the harmonica holding the violin.,drops the bow paper and links it in the base of it.,completely shaves his beard off.,places his hand to the side cutting the horse with a knife.,2
2667,lsmdc1037_The_Curious_Case_Of_Benjamin_Button-86945,2922,They share a long look. Someone,They share a long look.,Someone,gen,"crosses her hand over her mouth then stands nods, she rolls her beard.",looks thoughtful as he places his sandwich on the floor.,takes someone's hand and heads for the cottage.,spins around and looks around her head.,2
2668,lsmdc1035_The_Adjustment_Bureau-85902,11203,He massages the bridge of his nose with his fingers. Someone,He massages the bridge of his nose with his fingers.,Someone,gold,takes off the brothers clothes and uses the chain.,appears in front of him.,lifts himself up.,"lowers his arms, and licks his lips.",1
2669,anetv_JBnL0T2XzGs,15068,A group is playing ice hockey for fun in an indoor rink as a man speaks to the camera. Two women,A group is playing ice hockey for fun in an indoor rink as a man speaks to the camera.,Two women,gen,play yard soccer with big spectators and men appear above her on screen.,are shown playing several different games of pool as well as taking on their drinks and grabbing a locker and speaking to one another.,are running playing knife following the game throughout the video.,are in a tournament at a strategy camp starting a large aerobic race.,1
2670,anetv_L-rPS8tlAy4,3230,The horse is let out of the coral by the cowboys. The horses intestines,The horse is let out of the coral by the cowboys.,The horses intestines,gold,hang from its body from the injury.,are running from the shore.,let people stride off.,billows over the ropes.,0
2671,lsmdc3089_XMEN_FIRST_CLASS-43594,14876,"The American officer looks on. Meanwhile, someone",The American officer looks on.,"Meanwhile, someone",gold,slips the essay out his locker.,is now flying along the side of a building into the crowd.,sports a laser target.,steps into the mirrored chamber.,3
2672,lsmdc3023_DISTRICT_9-10899,5321,"Now at the Van De Merwe House, someone pours two drinks. Someone","Now at the Van De Merwe House, someone pours two drinks.",Someone,gen,unties his seat as someone munches popcorn.,smiles as he steps to her view.,"squirts someone in the crook of his arm, and someone snaps his fingers.",picks up some balls.,1
2673,lsmdc3068_THE_BIG_YEAR-3480,17226,Someone grimaces with effort as he tries to keep up with the others. They,Someone grimaces with effort as he tries to keep up with the others.,They,gen,run to the corner window.,stand them up at the end.,wrestle with his fists as it collapses and falls across the floor.,sit beside him in a wheelchair.,0
2674,lsmdc3040_JULIE_AND_JULIA-17886,18071,"Later, someone blows out candles. They","Later, someone blows out candles.",They,gold,"look at someone as they kiss tenderly, then watch her disappear.","drive away, leaving someone alone with her parents.",stand high up on the branch next to the tree.,serve the birthday cake.,3
2675,anetv_fnZIksNLUXA,14851,"A man holds a white thing and touches it over and over. Above water people are on the boat and a person falls into the water, we",A man holds a white thing and touches it over and over.,"Above water people are on the boat and a person falls into the water, we",gold,see more of the tugging on the screen.,see people underwater diving and looking at sealife at night.,see the man playing again.,see five mountain boats as stuck in the water.,1
2676,anetv_B5s4uYNIM24,7599,"Then, a man is shown gearing up and putting on several contraptions that he can connect to a belt. He","Then, a man is shown gearing up and putting on several contraptions that he can connect to a belt.",He,gold,is then shown washing the windows of the very tall building.,is then demonstrates how to deal between the blades.,is there practicing with some other riders as he crashes into the rear of the car building.,"ride, talking as he rides the bike in the park.",0
2677,anetv_M7Lc8nh9auA,3127,A man jumps off stairs in roller blades. He,A man jumps off stairs in roller blades.,He,gold,walks around a corner exercising on the equipment.,falls on the ground on top of the stairs.,jumps down a hill on his skateboard.,does several sit ups.,1
2678,anetv_BG4QxmqBaS4,7432,Screens begin to appear with white words on them describing events that are about to take place. A still image,Screens begin to appear with white words on them describing events that are about to take place.,A still image,gen,appears with a black screen screen with white letters.,shows a title screen for a clip inside of a crumpled clothes in various locations.,zooms into the screen and the camera demonstrates how to properly wrap a metal match.,is shown of a girl putting her hair braided in a braid.,3
2679,anetv_bI1L2D_erOY,16262,The women speaking back and fourth while holding bottles and various shots of people outdoors and sun screen are shown. The women,The women speaking back and fourth while holding bottles and various shots of people outdoors and sun screen are shown.,The women,gold,begin putting chips into a net.,continue applying the harmonica back and fourth to one another one by one.,continue speaking as more shots of people are shown and ends with the women looking into the camera.,take turns falling down and falling down and sitting down.,2
2680,anetv_wtA-5-6DRcY,15503,A group is lazily floating on intertubes in a river. The people,A group is lazily floating on intertubes in a river.,The people,gold,"sail with kayaks, down the choppy river.",go down a slope while the people continue for pruning.,are holding hands so they stay together.,are suddenly lined with 20.,2
2681,lsmdc3041_JUST_GO_WITH_IT-18416,8600,"Everyone still moving in slow motion, someone, someone, and the kids watch the furious woman chase after her son. Inside, children","Everyone still moving in slow motion, someone, someone, and the kids watch the furious woman chase after her son.","Inside, children",gold,try to free the blood stained blood from their fingers and hunched over a table.,"are waiting for him, but by the fiancee of other other thugs.","run wildly through an elaborate play structure with tunnels, slides, and climbing ropes.",at the stars appear away from the buildings of the city by the house.,2
2682,lsmdc3058_RUBY_SPARKS-28627,3438,"Someone draws a breath and nods softly. Now, someone and Scotty",Someone draws a breath and nods softly.,"Now, someone and Scotty",gen,follow someone down a corridor.,sit on a bench.,sit on a sofa.,stroll down the hall.,0
2683,lsmdc1053_Harry_Potter_and_the_philosophers_stone-95906,984,"The gate opens and the teams steps forward. One after the other, they",The gate opens and the teams steps forward.,"One after the other, they",gen,run over the strip.,whistle and hit and run in after.,follow someone hunters aside through the narrow blue door.,take on the safety jackets.,0
2684,anetv_A_ndiCY-rDc,12333,Woman is laying on a floor and is doing abs. woman,Woman is laying on a floor and is doing abs.,woman,gold,is holding a little old box.,is doing crunches on sets.,is getting her legs pierced.,is talking inside the small bathroom.,1
2685,anetv_8ma-p7ap2MQ,14699,A man is seen speaking to the camera while pointing to plants. He,A man is seen speaking to the camera while pointing to plants.,He,gold,has cooked food in a pot.,kneels down still speaking and uses a tool along a hedge.,begins swimming around with someone watching on the sides.,is seen speaking to the camera while holding up a large fish.,1
2686,anetv_e8MK2naV6E8,12036,The boy takes a swing at the pinata and misses. the boy,The boy takes a swing at the pinata and misses.,the boy,gold,hits and pushes the pinata.,lowers his garage and resumes his neighbor.,lays down in a swing.,cups it to the kid and lifts it to his face and laughs.,0
2687,lsmdc0038_Psycho-67224,14768,"He stops short, looks at her, then at the umbrella hanging useless in his hand, then back to her. He","He stops short, looks at her, then at the umbrella hanging useless in his hand, then back to her.",He,gold,eyes his mentor as the policemen frisks someone.,looks towards the ceiling.,stands and sets his arms over her.,"gestures her into the office, standing back to indicate that he will go after her.",3
2688,anetv_bc-DycGxV9E,6743,An elder man is walking up a set a stairs holding a toddler's hand. the man,An elder man is walking up a set a stairs holding a toddler's hand.,the man,gold,bends down on a set of monkey bars then plunges the handles in the pole.,tries to get his portion done and then takes a slow spin.,takes the handlebars from the man and starts scrubbing his sneaker.,leads the toddler to the top of a slide.,3
2689,lsmdc3082_TITANIC1-38453,8060,"Suddenly, someone steps to the edge of the lifeboat. Someone","Suddenly, someone steps to the edge of the lifeboat.",Someone,gen,moves back to his son.,lowers him to the ground.,sits back in a chair.,pulls the wires away from it.,1
2690,anetv_ADUmfTuiDH8,1992,Lemons are juiced into a measuring cup. The lemon juice,Lemons are juiced into a measuring cup.,The lemon juice,gold,pours shaken in a red pot.,is poured into a pitcher along with a red fruit juice and stirred.,is placed filling with rum.,is pour and poured into it.,1
2691,anetv_ToLMOwlrgm0,7967,There's a man in a blue striped shirt and a woman in a black hoodie standing in a bathroom. The man,There's a man in a blue striped shirt and a woman in a black hoodie standing in a bathroom.,The man,gen,picks up the glasses and then begins to shave his face with the razor.,is taking a fencing mask down - shifting his eyes on an orange table.,clean a pair of long hair and gloves and toothbrush.,lifts a white shirt over the hair and throws it down onto the person.,3
2692,lsmdc0032_The_Princess_Bride-66302,14683,Someone is looking at him. Someone,Someone is looking at him.,Someone,gen,grabs someone with the book.,rises all over the ground.,stands nearby and looks through the plane.,is wrapped in that once more.,2
2693,lsmdc3068_THE_BIG_YEAR-3480,17218,"Outside, they climb on bikes and ride off. Someone","Outside, they climb on bikes and ride off.",Someone,gen,reverses the limo as someone's car cruises.,turns her bike over to the trailer.,reaches the railing of a cabins going from side to side.,"picks up a remote, then whips out a single pay hat.",1
2694,anetv_R1Q-KP8GHFE,5161,The race starts ant the player is playing on jet skis. The player,The race starts ant the player is playing on jet skis.,The player,gen,"is wildly punching the ring, yelling.",talks for a split moments.,ends on the other team.,signals to the team.,3
2695,anetv_rVRNX-fClE4,167,As the picture becomes more clear there is a small silver can with a screw on lid and the writing on the can say's dr Martens AirWair. A pair of shiny black boots are standing and their black shoelaces are tied and the text After,As the picture becomes more clear there is a small silver can with a screw on lid and the writing on the can say's dr Martens AirWair.,A pair of shiny black boots are standing and their black shoelaces are tied and the text After,gold,appears next to tools.,brings someone 'back along quick: a note on his elder wand.,appears on the front left area of the boot.,looks nuts and all the string builders is.,2
2696,lsmdc0017_Pianist-56520,19013,Then he finds a tin - opener. The Germans,Then he finds a tin - opener.,The Germans,gold,sneaks up behind him.,throws it into position.,go in a chokehold.,are evacuating the villa.,3
2697,lsmdc1045_An_education-90089,1965,Someone shows the family in through a wooden front door. An older woman,Someone shows the family in through a wooden front door.,An older woman,gold,steps back and faces someone with a subdued smile.,is at a store drawing on a chalkboard kiosk by a comic.,peers out through some of that curtains.,stands back in her seat of a kitchen.,2
2698,lsmdc3082_TITANIC1-38217,13996,"The flare explodes into separate fiery streams that fall and extinguish in the ocean. In the Master at Arms office, someone",The flare explodes into separate fiery streams that fall and extinguish in the ocean.,"In the Master at Arms office, someone",gen,watches from a flamethrower as someone and someone aim their guns at the air.,grabs an empty glass and reads it.,slaps the watertight panel as someone catches someone's name.,makes it to the rear end of the ship and springs toward it.,3
2699,anetv_Vm07Uu4_iCE,1204,A man is seen kneeling down to a tire an then places it on a machine. He,A man is seen kneeling down to a tire an then places it on a machine.,He,gold,begins unscrewing the straps to his hands.,continues filming the car while the camera pans around to see the man talking.,shows how to remove the metal tires while still speaking to the camera.,continues to use the machine to take the rubber off of the tire and ends by placing it back down.,3
2700,anetv_V_Nj_BhesEY,16000,A crowd of people watch him. He,A crowd of people watch him.,He,gold,"proceeds to perform various karate moves, such as bowing, cartwheels and flips.","is a beautiful brunette, someone sitting in a chair, staring at her.",sticks the cigarette from his pockets and drops his phone.,screams at people slide on his feet.,0
2701,lsmdc3014_CAPTAIN_AMERICA-5816,17631,Someone fights off troopers as they charge toward him. He,Someone fights off troopers as they charge toward him.,He,gold,kicks one on the chest and slams another with his shield.,attacks a hydra hydra.,collapses with the gun at their sides.,roars over his head.,0
2702,anetv_y80Jbcb5GWA,2608,He swings high into the air as someone pushes him. The boy,He swings high into the air as someone pushes him.,The boy,gold,grins down at him.,tries to break the door himself.,races carousel as the machine glides out along the rocky path.,smiles and talks to the person with the camera.,3
2703,anetv_N6HUPyM5m2o,17217,Woman is wearing a purple shit lifting weight. woman,Woman is wearing a purple shit lifting weight.,woman,gold,is in an x with talking to the camera.,is kneeling high up in the air.,is playing an body machine on a wall and a man in a black shirt standing next to someone.,is sitting in stairs tying the laces.,3
2704,anetv_fnPX_0Rs4eE,19923,"A gymnast performs on a pommel horse on front two judges while a man watch her, then the gymnast runs and make a flip to finish her performance. Also, other people","A gymnast performs on a pommel horse on front two judges while a man watch her, then the gymnast runs and make a flip to finish her performance.","Also, other people",gen,move back and fourth while riding strings and taking a flip.,perform jump springs routine after the handstand and walks by during the first performance.,are flipping backwards as the athlete raises his arms.,stand around the bar and jump into stands in an measures room.,1
2705,anetv_jzDXtd0__DM,16913,Other people are seen standing on the side and watching the other two. The coupe,Other people are seen standing on the side and watching the other two.,The coupe,gen,is then shown moving in slow motion.,also begins to fight with one another.,continues to search a large box and all the sides walk across the way.,screams and continues to go next door as people and the others walk in.,0
2706,lsmdc3082_TITANIC1-38776,16765,The lifeboat rows farther away. Someone,The lifeboat rows farther away.,Someone,gold,stands and stares towards the ground below the chopper.,"sits on the edge - below board, staring at a ceiling and ceiling.",trembles as she watches it recede.,leans over to adjust his seat belt.,2
2707,lsmdc3023_DISTRICT_9-10971,13392,He stands and watches several helicopters approach. Someone,He stands and watches several helicopters approach.,Someone,gold,"walks through an army, holding sunglasses.",turns to him as the wind draws him away.,scans the area from one chopper.,hurries across the office.,2
2708,lsmdc3042_KARATE_KID-19988,4077,Someone kicks the utility pole which stands thickly wrapped in padding. Someone,Someone kicks the utility pole which stands thickly wrapped in padding.,Someone,gen,reaches in and picks it up.,looks out at the studio.,removes his backpack from two angles.,climbs down the board.,2
2709,lsmdc0026_The_Big_Fish-62621,13178,Young someone watches barefoot someone leave Spectre for the first time. Finally,Young someone watches barefoot someone leave Spectre for the first time.,Finally,gold,realizing who this woman is.,watches as he gets back on the bunk.,gets the ball on the highway when he approaches someone's car.,"on the stage, someone jumps hero, scores, and fights back with his cue case.",0
2710,anetv_K8f4LNNiQy8,13735,A large group of people are seen running around a track. One man,A large group of people are seen running around a track.,One man,gen,moves up and wipes off the sides.,performs several tricks on the camera.,begins running down the track as others watch on his side.,rests on the track and begins flipping into the camera.,2
